Epoch	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Time	Learning Rate	
0.000000	1.553602	1.261692	42.238000	54.520000	65.527123	[0.005, 0.005, 0.08174519892979014, 0.08174519892979014, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.09850124639425678, 0.09850124639425678, 0.1, 0.1, 0.08417603497240517, 0.08417603497240517, 0.1, 0.1, 0.0723555905352603, 0.0723555905352603, 0.1, 0.1, 0.0683999514595037, 0.0683999514595037, 0.1, 0.1, 0.03357442115394752, 0.03357442115394752, 0.0868298454825577, 0.0868298454825577, 0.025682981733212484, 0.025682981733212484, 0.05595006767996123, 0.05595006767996123, 0.013588621992665126, 0.013588621992665126, 0.0351556935298723, 0.0351556935298723, 0.012482164891812426, 0.012482164891812426, 0.004051881603047345, 0.004051881603047345]	
1.000000	1.069873	0.980520	61.756000	65.710000	61.539336	[0.005, 0.005, 0.04459255049978833, 0.04459255049978833, 0.1, 0.1, 0.09997945395582013, 0.09997945395582013, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.09646031714673763, 0.09646031714673763, 0.1, 0.1, 0.05143022710493049, 0.05143022710493049, 0.1, 0.1, 0.04591448403949981, 0.04591448403949981, 0.1, 0.1, 0.03779993261995411, 0.03779993261995411, 0.1, 0.1, 0.03326906401458158, 0.03326906401458158, 0.07666018873926596, 0.07666018873926596, 0.020349839322217157, 0.020349839322217157, 0.05192992744703144, 0.05192992744703144, 0.01584228333479457, 0.01584228333479457, 0.03440065371520347, 0.03440065371520347, 0.011603505669761498, 0.011603505669761498, 0.024740544056655944, 0.024740544056655944, 0.010003634175035745, 0.010003634175035745, 0.0027388955445950105, 0.0027388955445950105]	
2.000000	0.856505	0.837900	70.596000	71.500000	61.781593	[0.005, 0.005, 0.04098235048396476, 0.04098235048396476, 0.1, 0.1, 0.09974015305057966, 0.09974015305057966, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.07756781629276616, 0.07756781629276616, 0.1, 0.1, 0.0488729986968993, 0.0488729986968993, 0.1, 0.1, 0.04051047772299453, 0.04051047772299453, 0.1, 0.1, 0.031327906168219156, 0.031327906168219156, 0.1, 0.1, 0.022089129405528592, 0.022089129405528592, 0.062165389537135296, 0.062165389537135296, 0.016271572195552964, 0.016271572195552964, 0.03913671637142023, 0.03913671637142023, 0.010808095908693695, 0.010808095908693695, 0.02664314123851384, 0.02664314123851384, 0.0064876662705388305, 0.0064876662705388305, 0.018423935353587845, 0.018423935353587845, 0.007716153865585504, 0.007716153865585504, 0.001987869955894294, 0.001987869955894294]	
3.000000	0.739054	0.726461	74.892000	75.370000	61.889487	[0.005, 0.005, 0.03570744834784742, 0.03570744834784742, 0.1, 0.1, 0.08271887918231328, 0.08271887918231328, 0.1, 0.1, 0.09574609982568393, 0.09574609982568393, 0.1, 0.1, 0.0981615073541581, 0.0981615073541581, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.08788399993173501, 0.08788399993173501, 0.1, 0.1, 0.07471482345416344, 0.07471482345416344, 0.1, 0.1, 0.06153021359020783, 0.06153021359020783, 0.1, 0.1, 0.03729288939474616, 0.03729288939474616, 0.1, 0.1, 0.03636329220934041, 0.03636329220934041, 0.1, 0.1, 0.029219067053113022, 0.029219067053113022, 0.1, 0.1, 0.021546249942916002, 0.021546249942916002, 0.05720916386658043, 0.05720916386658043, 0.014498291089276527, 0.014498291089276527, 0.04005453458885972, 0.04005453458885972, 0.012251336181427543, 0.012251336181427543, 0.028536424670760358, 0.028536424670760358, 0.008417330359434731, 0.008417330359434731, 0.02220321603807181, 0.02220321603807181, 0.009920379510381574, 0.009920379510381574, 0.0024920427401429637, 0.0024920427401429637]	
4.000000	0.658507	0.752654	77.994000	75.560000	62.052646	[0.005, 0.005, 0.02658324870762585, 0.02658324870762585, 0.1, 0.1, 0.05860657744587228, 0.05860657744587228, 0.1, 0.1, 0.06835695309417651, 0.06835695309417651, 0.1, 0.1, 0.06947316965334906, 0.06947316965334906, 0.1, 0.1, 0.07130186744162155, 0.07130186744162155, 0.1, 0.1, 0.06693971627904712, 0.06693971627904712, 0.1, 0.1, 0.05939586567794433, 0.05939586567794433, 0.1, 0.1, 0.04594536407647619, 0.04594536407647619, 0.1, 0.1, 0.027790896193278382, 0.027790896193278382, 0.1, 0.1, 0.027057659532211755, 0.027057659532211755, 0.1, 0.1, 0.019467897759569683, 0.019467897759569683, 0.08489199635584649, 0.08489199635584649, 0.016935331695059504, 0.016935331695059504, 0.04570712148552155, 0.04570712148552155, 0.010305817080267666, 0.010305817080267666, 0.03186726257691995, 0.03186726257691995, 0.008999586716501456, 0.008999586716501456, 0.022490682225589836, 0.022490682225589836, 0.007246428569440859, 0.007246428569440859, 0.01831985759164907, 0.01831985759164907, 0.008486616422592373, 0.008486616422592373, 0.002732795897004286, 0.002732795897004286]	
5.000000	0.584212	0.641709	80.476000	78.950000	61.982223	[0.005, 0.005, 0.02482939822069062, 0.02482939822069062, 0.1, 0.1, 0.057664436455576604, 0.057664436455576604, 0.1, 0.1, 0.07900963350930931, 0.07900963350930931, 0.1, 0.1, 0.08403977266662045, 0.08403977266662045, 0.1, 0.1, 0.08724867518663017, 0.08724867518663017, 0.1, 0.1, 0.06350964769378133, 0.06350964769378133, 0.1, 0.1, 0.053812199356177925, 0.053812199356177925, 0.1, 0.1, 0.04144937210374145, 0.04144937210374145, 0.1, 0.1, 0.028005983905828372, 0.028005983905828372, 0.1, 0.1, 0.023500921321909233, 0.023500921321909233, 0.1, 0.1, 0.017816263711135198, 0.017816263711135198, 0.07497951406451762, 0.07497951406451762, 0.014008665635965839, 0.014008665635965839, 0.03884508399492743, 0.03884508399492743, 0.008514650583305394, 0.008514650583305394, 0.026659876522078234, 0.026659876522078234, 0.008530783809409496, 0.008530783809409496, 0.018896040468566352, 0.018896040468566352, 0.005217526643705209, 0.005217526643705209, 0.013742285795804237, 0.013742285795804237, 0.005443946296740279, 0.005443946296740279, 0.0020037491111456517, 0.0020037491111456517]	
6.000000	0.535933	0.778148	82.270000	74.300000	59.757242	[0.005, 0.005, 0.023081450378361876, 0.023081450378361876, 0.1, 0.1, 0.04274358321226172, 0.04274358321226172, 0.1, 0.1, 0.05401964872751015, 0.05401964872751015, 0.1, 0.1, 0.05754225030360605, 0.05754225030360605, 0.1, 0.1, 0.058881253030659324, 0.058881253030659324, 0.1, 0.1, 0.0547058720166475, 0.0547058720166475, 0.1, 0.1, 0.04804025502498728, 0.04804025502498728, 0.1, 0.1, 0.04142290500188036, 0.04142290500188036, 0.1, 0.1, 0.028947459574910864, 0.028947459574910864, 0.1, 0.1, 0.025537698600261175, 0.025537698600261175, 0.1, 0.1, 0.018550392483607434, 0.018550392483607434, 0.07310714749099204, 0.07310714749099204, 0.013987162515503564, 0.013987162515503564, 0.04001233528402746, 0.04001233528402746, 0.011596627273075073, 0.011596627273075073, 0.028216941816096186, 0.028216941816096186, 0.008394832964483663, 0.008394832964483663, 0.01890371507383311, 0.01890371507383311, 0.005713326010445374, 0.005713326010445374, 0.015110715507429706, 0.015110715507429706, 0.006675042770893571, 0.006675042770893571, 0.0018625433450298176, 0.0018625433450298176]	
7.000000	0.505262	0.529179	83.234000	82.570000	59.497566	[0.005, 0.005, 0.01894048419471511, 0.01894048419471511, 0.1, 0.1, 0.041831883843054744, 0.041831883843054744, 0.1, 0.1, 0.057284650441831814, 0.057284650441831814, 0.1, 0.1, 0.06065118547636881, 0.06065118547636881, 0.1, 0.1, 0.05881563669535152, 0.05881563669535152, 0.1, 0.1, 0.05543595015769256, 0.05543595015769256, 0.1, 0.1, 0.049327604289558104, 0.049327604289558104, 0.1, 0.1, 0.041204951533518656, 0.041204951533518656, 0.1, 0.1, 0.02286721620033023, 0.02286721620033023, 0.1, 0.1, 0.01850029829211218, 0.01850029829211218, 0.09399472446240249, 0.09399472446240249, 0.014396729164678346, 0.014396729164678346, 0.06369949554596394, 0.06369949554596394, 0.011546721360107067, 0.011546721360107067, 0.03410146150824453, 0.03410146150824453, 0.00794357164554969, 0.00794357164554969, 0.02402727628574989, 0.02402727628574989, 0.007636532001189699, 0.007636532001189699, 0.01811896382218461, 0.01811896382218461, 0.005436461808606461, 0.005436461808606461, 0.015825251535627315, 0.015825251535627315, 0.0066702379002033605, 0.0066702379002033605, 0.001469188774225878, 0.001469188774225878]	
8.000000	0.471131	0.524953	84.600000	82.660000	60.956746	[0.005, 0.005, 0.02126902381574662, 0.02126902381574662, 0.1, 0.1, 0.033683926129340604, 0.033683926129340604, 0.1, 0.1, 0.04564640324523886, 0.04564640324523886, 0.1, 0.1, 0.04922703872572054, 0.04922703872572054, 0.1, 0.1, 0.05013616730474429, 0.05013616730474429, 0.1, 0.1, 0.044882225271038606, 0.044882225271038606, 0.1, 0.1, 0.037833642928429126, 0.037833642928429126, 0.1, 0.1, 0.029031794072063227, 0.029031794072063227, 0.1, 0.1, 0.018852067988611002, 0.018852067988611002, 0.08519299736511808, 0.08519299736511808, 0.014652677433464236, 0.014652677433464236, 0.06588365750741737, 0.06588365750741737, 0.009525262714378663, 0.009525262714378663, 0.042010649870422516, 0.042010649870422516, 0.008117384466217136, 0.008117384466217136, 0.022353774970114065, 0.022353774970114065, 0.005789493343327227, 0.005789493343327227, 0.015078618286780207, 0.015078618286780207, 0.004798641071357219, 0.004798641071357219, 0.010774445268333488, 0.010774445268333488, 0.0029605791564175444, 0.0029605791564175444, 0.00869825210671631, 0.00869825210671631, 0.004339464999401424, 0.004339464999401424, 0.0009616851835213695, 0.0009616851835213695]	
9.000000	0.441959	0.488365	85.452000	83.770000	61.010310	[0.005, 0.005, 0.018655752112113257, 0.018655752112113257, 0.1, 0.1, 0.033273232572992625, 0.033273232572992625, 0.1, 0.1, 0.043103061000452546, 0.043103061000452546, 0.1, 0.1, 0.04365000161816111, 0.04365000161816111, 0.1, 0.1, 0.04594180711128404, 0.04594180711128404, 0.1, 0.1, 0.037681101983842245, 0.037681101983842245, 0.1, 0.1, 0.031141347562879132, 0.031141347562879132, 0.1, 0.1, 0.025000145651394662, 0.025000145651394662, 0.1, 0.1, 0.017480205094119718, 0.017480205094119718, 0.09943885755123504, 0.09943885755123504, 0.01488410460670195, 0.01488410460670195, 0.0756605149584672, 0.0756605149584672, 0.010469759570408452, 0.010469759570408452, 0.04994204842767351, 0.04994204842767351, 0.008985344128356741, 0.008985344128356741, 0.026919953239208465, 0.026919953239208465, 0.005930706074834991, 0.005930706074834991, 0.01962543612837184, 0.01962543612837184, 0.006460240691281847, 0.006460240691281847, 0.013949888678131406, 0.013949888678131406, 0.004457831870048162, 0.004457831870048162, 0.010916537844261923, 0.010916537844261923, 0.004460099418911669, 0.004460099418911669, 0.0010983614625607692, 0.0010983614625607692]	
