Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.496199	2.219705	12.688000	13.500000	
0.100000	2.100491	2.066037	18.532000	20.870000	
0.100000	1.953684	1.921117	23.506000	23.350000	
0.100000	1.790449	1.744722	29.064000	32.680000	
0.100000	1.657573	1.744010	35.510000	35.080000	
0.100000	1.499120	1.442481	43.114000	45.740000	
0.100000	1.284117	1.248462	53.496000	56.230000	
0.100000	1.069886	1.165306	62.782000	59.500000	
0.100000	0.953269	1.222440	67.336000	61.100000	
0.100000	0.870074	0.893979	70.646000	71.260000	
0.100000	0.811611	1.892631	73.004000	54.650000	
0.100000	0.758981	0.897313	74.874000	71.630000	
0.100000	0.716940	0.980450	76.330000	68.330000	
0.100000	0.685239	0.728555	77.622000	76.300000	
0.100000	0.659423	0.980007	78.340000	68.930000	
0.100000	0.641075	0.835544	78.896000	72.580000	
0.100000	0.617664	1.065989	79.776000	69.160000	
0.100000	0.604766	0.734066	80.334000	76.560000	
0.100000	0.591584	0.768245	80.620000	76.050000	
0.100000	0.583108	0.703430	81.038000	77.600000	
0.100000	0.566656	0.777454	81.436000	75.680000	
0.100000	0.557018	0.679348	81.968000	78.550000	
0.100000	0.544979	0.793931	82.256000	75.180000	
0.100000	0.538457	0.864349	82.584000	73.960000	
0.100000	0.528679	0.651158	82.884000	79.060000	
0.100000	0.531521	0.819744	82.634000	72.980000	
0.100000	0.521039	0.605920	83.096000	80.810000	
0.100000	0.518798	0.678625	83.184000	79.280000	
0.100000	0.512404	0.651686	83.382000	80.060000	
0.100000	0.500482	0.651136	83.914000	79.080000	
0.100000	0.502974	0.710218	83.754000	77.100000	
0.100000	0.498052	0.920329	83.700000	73.240000	
0.100000	0.501364	0.679309	83.692000	77.890000	
0.100000	0.491694	0.608042	84.084000	80.510000	
0.100000	0.491300	0.834847	83.944000	74.820000	
0.100000	0.475706	0.682223	84.544000	78.600000	
0.100000	0.487224	0.864122	84.276000	73.840000	
0.100000	0.479420	0.896731	84.570000	72.410000	
0.100000	0.468934	0.719401	84.834000	77.940000	
0.100000	0.475691	0.691533	84.560000	77.250000	
0.100000	0.473455	0.771773	84.814000	76.120000	
0.100000	0.465626	0.724838	84.934000	77.570000	
0.100000	0.471586	0.662239	84.690000	78.810000	
0.100000	0.465911	0.783202	84.852000	75.360000	
0.100000	0.457659	0.830374	85.232000	75.460000	
0.100000	0.466509	0.622802	84.932000	80.740000	
0.100000	0.461621	0.576539	85.030000	81.760000	
0.100000	0.454987	0.740216	85.292000	78.610000	
0.100000	0.446690	0.923575	85.492000	73.750000	
0.100000	0.454954	0.690800	85.204000	78.040000	
0.100000	0.453787	0.557891	85.372000	82.070000	
0.100000	0.451184	0.563597	85.428000	81.260000	
0.100000	0.451695	0.901325	85.398000	74.960000	
0.100000	0.450870	0.715860	85.394000	78.040000	
0.100000	0.442695	0.721610	85.668000	77.830000	
0.100000	0.448797	1.064094	85.400000	73.460000	
0.100000	0.448362	0.528173	85.392000	82.990000	
0.100000	0.438449	0.582083	85.830000	81.620000	
0.100000	0.440199	0.844234	85.772000	74.640000	
0.100000	0.444136	0.537284	85.586000	82.370000	
0.100000	0.444317	0.664286	85.624000	80.040000	
0.100000	0.442216	0.622869	85.672000	80.970000	
0.100000	0.438095	0.609737	85.862000	80.430000	
0.100000	0.435779	0.755360	85.750000	77.630000	
0.100000	0.433905	0.841648	86.030000	74.810000	
0.100000	0.439186	0.626238	85.916000	80.030000	
0.100000	0.437663	0.558231	85.798000	82.840000	
0.100000	0.432114	0.660882	85.904000	78.420000	
0.100000	0.428908	0.770357	86.108000	76.760000	
0.100000	0.438718	0.659020	85.848000	78.680000	
0.100000	0.428394	0.648508	86.042000	80.040000	
0.100000	0.431201	0.806375	85.920000	76.510000	
0.100000	0.435490	0.656252	85.960000	79.850000	
0.100000	0.427890	0.657299	86.130000	79.480000	
0.100000	0.431945	0.864999	85.938000	74.990000	
0.100000	0.416923	0.905780	86.426000	73.990000	
0.100000	0.427159	0.619251	86.142000	80.630000	
0.100000	0.429842	0.713190	85.952000	77.090000	
0.100000	0.427680	0.631092	86.050000	80.330000	
0.100000	0.426749	0.943592	86.146000	72.400000	
0.100000	0.422677	0.716448	86.246000	78.270000	
0.010000	0.235235	0.276894	92.262000	90.930000	
0.010000	0.178441	0.263637	94.080000	91.330000	
0.010000	0.151638	0.256213	94.994000	91.920000	
0.010000	0.141155	0.251864	95.338000	91.780000	
0.010000	0.125909	0.250923	95.696000	92.110000	
0.010000	0.114076	0.260241	96.250000	91.920000	
0.010000	0.103170	0.261443	96.586000	92.280000	
0.010000	0.100272	0.265647	96.680000	92.130000	
0.010000	0.090764	0.277272	96.944000	92.210000	
0.010000	0.086567	0.297526	97.100000	91.350000	
0.010000	0.080650	0.282189	97.362000	91.880000	
0.010000	0.074740	0.296917	97.516000	91.730000	
0.010000	0.076082	0.298394	97.474000	91.590000	
0.010000	0.073802	0.296461	97.444000	91.910000	
0.010000	0.071035	0.301966	97.610000	91.610000	
0.010000	0.067577	0.288358	97.762000	91.920000	
0.010000	0.064961	0.306078	97.806000	91.920000	
0.010000	0.064566	0.303908	97.840000	91.970000	
0.010000	0.066392	0.301774	97.734000	91.810000	
0.010000	0.067196	0.317347	97.692000	91.690000	
0.010000	0.061799	0.358138	97.958000	90.620000	
0.010000	0.068273	0.310491	97.746000	91.560000	
0.010000	0.063953	0.312900	97.842000	91.420000	
0.010000	0.060051	0.325237	97.978000	91.330000	
0.010000	0.062990	0.321592	97.850000	91.260000	
0.010000	0.064345	0.320010	97.830000	91.420000	
0.010000	0.065658	0.357527	97.766000	90.480000	
0.010000	0.061824	0.322227	97.978000	91.360000	
0.010000	0.066137	0.339359	97.752000	91.220000	
0.010000	0.069156	0.330375	97.708000	91.210000	
0.010000	0.068145	0.325184	97.722000	91.370000	
0.010000	0.060094	0.366961	97.998000	90.780000	
0.010000	0.067169	0.317058	97.804000	91.290000	
0.010000	0.066514	0.331200	97.816000	91.300000	
0.010000	0.066498	0.334985	97.844000	91.000000	
0.010000	0.070048	0.338882	97.700000	91.170000	
0.010000	0.067931	0.321722	97.716000	90.870000	
0.010000	0.068128	0.335103	97.776000	91.130000	
0.010000	0.069677	0.358538	97.686000	90.310000	
0.010000	0.066822	0.378413	97.778000	90.290000	
0.010000	0.073499	0.350175	97.626000	90.460000	
0.001000	0.036140	0.263310	98.838000	92.900000	
0.001000	0.021934	0.268045	99.364000	93.020000	
0.001000	0.016170	0.274754	99.538000	93.060000	
0.001000	0.013926	0.278859	99.620000	93.130000	
0.001000	0.012529	0.278305	99.646000	93.030000	
0.001000	0.011482	0.282814	99.676000	93.250000	
0.001000	0.010592	0.286704	99.694000	93.230000	
0.001000	0.009583	0.287572	99.766000	93.270000	
0.001000	0.009315	0.289700	99.734000	93.050000	
0.001000	0.008268	0.291416	99.782000	93.190000	
0.001000	0.007396	0.293233	99.808000	93.270000	
0.001000	0.007479	0.295386	99.812000	93.070000	
0.001000	0.006937	0.298630	99.814000	93.260000	
0.001000	0.006531	0.299987	99.814000	93.230000	
0.001000	0.005822	0.299930	99.848000	93.270000	
0.001000	0.005668	0.302367	99.858000	93.380000	
0.001000	0.005321	0.302937	99.856000	93.460000	
0.001000	0.005294	0.307158	99.864000	93.380000	
0.001000	0.004704	0.305974	99.882000	93.300000	
0.001000	0.005286	0.309521	99.878000	93.250000	
0.001000	0.004443	0.307566	99.912000	93.340000	
0.001000	0.004308	0.310635	99.906000	93.170000	
0.001000	0.005272	0.311861	99.852000	93.190000	
0.001000	0.004451	0.315248	99.900000	93.260000	
0.001000	0.004316	0.314304	99.902000	93.330000	
0.001000	0.004175	0.318338	99.892000	93.240000	
0.001000	0.003748	0.319068	99.928000	93.250000	
0.001000	0.004173	0.313125	99.886000	93.380000	
0.001000	0.003823	0.318594	99.914000	93.330000	
0.001000	0.003741	0.314059	99.920000	93.330000	
0.001000	0.003444	0.316738	99.928000	93.380000	
0.001000	0.003339	0.317521	99.936000	93.290000	
0.001000	0.003379	0.321209	99.922000	93.350000	
0.001000	0.003329	0.317045	99.914000	93.390000	
0.001000	0.003099	0.320140	99.932000	93.390000	
0.001000	0.003180	0.321166	99.932000	93.370000	
0.001000	0.003004	0.326328	99.934000	93.290000	
0.001000	0.003127	0.325124	99.924000	93.300000	
0.001000	0.003003	0.324638	99.926000	93.410000	
0.001000	0.003199	0.323639	99.922000	93.350000	
0.001000	0.003231	0.330619	99.906000	93.220000	
0.001000	0.002943	0.327189	99.916000	93.300000	
