Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.991764	3.768672	7.698000	11.390000	
0.100000	3.383853	3.172643	17.558000	22.610000	
0.100000	2.818319	2.794814	27.812000	29.230000	
0.100000	2.383877	2.363211	36.526000	37.150000	
0.100000	2.085883	2.342011	42.952000	38.600000	
0.100000	1.877915	2.003263	48.004000	45.780000	
0.100000	1.730459	2.028308	51.498000	45.080000	
0.100000	1.623742	1.844718	54.178000	50.360000	
0.100000	1.544011	1.964532	56.182000	48.650000	
0.100000	1.474426	1.822855	58.102000	51.260000	
0.100000	1.428313	1.773552	59.362000	51.820000	
0.100000	1.373567	1.929443	60.618000	50.840000	
0.100000	1.332689	1.763605	61.700000	52.880000	
0.100000	1.294715	1.807699	62.712000	53.270000	
0.100000	1.261091	2.086404	63.422000	49.030000	
0.100000	1.244059	1.723561	64.174000	53.740000	
0.100000	1.212762	1.572900	64.916000	57.570000	
0.100000	1.181387	1.615699	65.756000	56.450000	
0.100000	1.169230	1.544938	66.242000	58.840000	
0.100000	1.150329	1.530321	66.682000	59.340000	
0.100000	1.126673	1.735533	67.372000	54.430000	
0.100000	1.119962	1.471484	67.472000	59.750000	
0.100000	1.103455	1.592648	67.794000	57.210000	
0.100000	1.097617	1.423523	68.010000	60.260000	
0.100000	1.082859	1.714406	68.402000	56.000000	
0.100000	1.084087	1.554612	68.596000	59.160000	
0.100000	1.060973	1.795013	68.986000	56.670000	
0.100000	1.056518	1.535061	69.290000	59.800000	
0.100000	1.048023	1.707623	69.216000	56.990000	
0.100000	1.037263	1.646420	69.720000	56.630000	
0.100000	1.036539	1.674015	69.740000	57.510000	
0.100000	1.018675	1.672034	70.158000	57.050000	
0.100000	1.021186	1.540711	70.278000	59.450000	
0.100000	1.010870	1.496567	70.432000	60.080000	
0.100000	1.008763	1.531323	70.426000	59.290000	
0.100000	0.999697	1.570643	70.770000	58.670000	
0.100000	1.005377	1.636972	70.502000	57.210000	
0.100000	0.997399	1.545554	70.788000	58.690000	
0.100000	0.985834	1.487885	71.260000	60.580000	
0.100000	0.993382	1.431236	70.852000	61.890000	
0.100000	0.987174	1.622021	71.056000	59.010000	
0.100000	0.974849	1.400855	71.534000	62.140000	
0.100000	0.977402	1.576370	71.268000	58.840000	
0.100000	0.973113	1.410656	71.196000	61.030000	
0.100000	0.965108	1.550495	71.494000	59.250000	
0.100000	0.960301	1.628523	71.954000	58.300000	
0.100000	0.968589	1.678300	71.544000	57.130000	
0.100000	0.963674	1.586135	71.698000	58.710000	
0.100000	0.955933	1.775777	71.742000	55.000000	
0.100000	0.949496	1.832669	72.250000	54.610000	
0.100000	0.955676	1.540879	71.960000	59.130000	
0.100000	0.946758	1.630860	72.106000	59.350000	
0.100000	0.946908	1.516003	72.174000	60.970000	
0.100000	0.942720	1.382071	72.156000	61.540000	
0.100000	0.951976	1.566556	72.060000	58.860000	
0.100000	0.941033	1.617336	72.254000	57.340000	
