Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.262983	4.030228	4.286000	6.330000	
0.100000	3.909158	3.888441	8.340000	9.350000	
0.100000	3.753132	3.684155	11.340000	12.890000	
0.100000	3.643339	3.720420	13.608000	12.740000	
0.100000	3.594885	3.568364	14.954000	15.420000	
0.100000	3.537108	3.432116	15.858000	17.520000	
0.100000	3.492943	3.468093	16.844000	17.260000	
0.100000	3.486317	3.438967	17.094000	18.070000	
0.100000	3.466224	3.446188	17.588000	17.420000	
0.100000	3.431217	3.347892	18.084000	19.440000	
0.100000	3.436983	3.403464	18.006000	18.870000	
0.100000	3.440755	3.345946	18.088000	19.830000	
0.100000	3.417966	3.445802	18.636000	18.380000	
0.100000	3.392931	3.374112	18.936000	19.680000	
0.100000	3.387581	3.493924	19.390000	18.230000	
0.100000	3.391223	3.317825	19.108000	19.580000	
0.100000	3.365034	3.341915	19.544000	20.220000	
0.100000	3.383073	3.395190	19.244000	19.540000	
0.100000	3.386965	3.390591	19.308000	19.870000	
0.100000	3.371290	3.343925	19.408000	19.630000	
0.100000	3.393706	3.385935	19.196000	19.710000	
0.100000	3.363080	3.395305	19.676000	19.080000	
0.100000	3.367051	3.391369	19.686000	19.490000	
0.100000	3.356430	3.382023	19.676000	18.840000	
0.100000	3.357720	3.363570	19.820000	19.400000	
0.100000	3.347989	3.389396	19.854000	20.010000	
0.100000	3.341843	3.365169	19.808000	20.380000	
0.100000	3.357122	3.397498	19.942000	19.320000	
0.100000	3.337849	3.327304	20.186000	20.480000	
0.100000	3.348343	3.333225	20.208000	19.190000	
0.100000	3.339340	3.264508	20.432000	21.710000	
0.100000	3.338475	3.265038	20.282000	21.450000	
0.100000	3.323923	3.405692	20.850000	20.030000	
0.100000	3.342520	3.413292	20.650000	18.850000	
0.100000	3.334720	3.409107	20.582000	20.060000	
0.100000	3.331575	3.385494	20.648000	19.860000	
0.100000	3.332929	3.487664	20.520000	18.930000	
0.100000	3.347766	3.346217	20.214000	19.910000	
0.100000	3.340707	3.389552	20.462000	20.550000	
0.100000	3.332240	3.356708	20.494000	20.880000	
0.100000	3.335247	3.402783	20.482000	19.950000	
0.100000	3.313288	3.264748	21.032000	21.680000	
0.100000	3.324264	3.362228	20.460000	20.490000	
0.100000	3.314764	3.305476	20.762000	20.470000	
0.100000	3.318616	3.229177	20.938000	22.770000	
0.100000	3.319804	3.344336	21.036000	20.400000	
0.100000	3.311151	3.298111	20.876000	21.810000	
0.100000	3.345039	3.392476	20.398000	18.950000	
0.100000	3.333618	3.398250	20.578000	19.860000	
0.100000	3.325213	3.314775	20.698000	20.960000	
0.100000	3.335663	3.348764	20.516000	20.310000	
0.100000	3.334765	3.327300	20.676000	21.470000	
0.100000	3.314005	3.419656	20.842000	18.760000	
0.100000	3.335673	3.307956	20.420000	21.460000	
0.100000	3.322947	3.358383	20.522000	18.420000	
0.100000	3.320305	3.331382	20.910000	21.100000	
0.100000	3.309052	3.345521	20.990000	19.740000	
0.100000	3.329823	3.279941	20.616000	21.640000	
0.100000	3.319656	3.263266	20.482000	22.690000	
0.100000	3.327800	3.325098	20.618000	20.730000	
0.100000	3.323228	3.433842	20.726000	19.120000	
0.100000	3.320413	3.299799	20.600000	20.890000	
0.100000	3.307382	3.283465	20.752000	19.800000	
0.100000	3.316029	3.298843	20.884000	20.970000	
0.100000	3.317575	3.433477	20.744000	19.630000	
0.100000	3.315758	3.339355	20.812000	21.060000	
0.100000	3.304319	3.257708	21.090000	22.650000	
0.100000	3.297847	3.328300	21.000000	21.510000	
0.100000	3.322091	3.264120	20.692000	21.410000	
0.100000	3.310923	3.371238	21.092000	19.900000	
0.100000	3.322179	3.328258	20.616000	21.200000	
0.100000	3.322888	3.323078	20.626000	20.180000	
0.100000	3.316446	3.371628	20.650000	19.740000	
0.100000	3.320097	3.321685	20.896000	20.300000	
0.100000	3.329725	3.216360	20.500000	21.690000	
0.100000	3.309159	3.219088	20.870000	22.700000	
