Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.838881	3.456062	10.798000	17.840000	
0.100000	3.016625	2.779884	24.140000	29.160000	
0.100000	2.473197	2.401601	34.778000	37.340000	
0.100000	2.130574	2.133077	42.740000	43.140000	
0.100000	1.906937	2.106597	47.648000	45.920000	
0.100000	1.741639	1.900451	51.492000	49.700000	
0.100000	1.631439	1.760403	54.384000	51.890000	
0.100000	1.539992	1.705289	56.552000	53.240000	
0.100000	1.467854	1.843505	58.230000	51.760000	
0.100000	1.395665	1.612245	60.174000	56.610000	
0.100000	1.351527	1.740986	61.384000	54.540000	
0.100000	1.300889	1.529638	62.386000	58.360000	
0.100000	1.258315	1.599128	63.556000	57.040000	
0.100000	1.229539	1.699883	64.290000	56.790000	
0.100000	1.206729	1.518370	65.076000	59.180000	
0.100000	1.170794	1.507569	65.976000	59.000000	
0.100000	1.138747	1.514283	66.670000	58.980000	
0.100000	1.115427	1.540831	67.106000	59.680000	
0.100000	1.103726	1.487640	67.718000	60.560000	
0.100000	1.092667	1.501986	67.868000	59.710000	
0.100000	1.059820	1.464771	68.584000	60.340000	
0.100000	1.050832	1.481908	68.906000	60.990000	
0.100000	1.030564	1.444528	69.716000	61.340000	
0.100000	1.020029	1.386649	69.792000	61.830000	
0.100000	1.004513	1.466350	70.426000	60.110000	
0.100000	0.992276	1.367187	70.550000	62.650000	
0.100000	0.979473	1.453084	71.052000	61.990000	
0.100000	0.971346	1.531231	70.932000	60.470000	
0.100000	0.958896	1.329449	71.350000	64.130000	
0.100000	0.953350	1.433393	71.666000	61.680000	
0.100000	0.939303	1.578890	71.690000	59.420000	
0.100000	0.933063	1.300568	71.910000	64.230000	
0.100000	0.919926	1.354692	72.504000	64.370000	
0.100000	0.921476	1.499581	72.298000	61.140000	
0.100000	0.916134	1.459551	72.460000	62.150000	
0.100000	0.902958	1.343344	72.934000	64.020000	
0.100000	0.886310	1.689095	73.254000	58.860000	
0.100000	0.880520	1.413796	73.548000	62.930000	
0.100000	0.883593	1.450224	73.390000	62.730000	
0.100000	0.871657	1.353008	73.890000	64.050000	
0.100000	0.856419	1.422881	74.218000	63.090000	
0.100000	0.859479	1.568976	74.012000	60.600000	
0.100000	0.862189	1.301605	73.874000	65.420000	
0.100000	0.846057	1.328004	74.334000	65.130000	
0.100000	0.838432	1.374815	74.900000	64.350000	
0.100000	0.838396	1.354560	74.650000	64.380000	
0.100000	0.838452	1.409185	74.584000	64.230000	
0.100000	0.827128	1.580404	75.050000	61.690000	
0.100000	0.816814	1.386093	75.236000	64.700000	
0.100000	0.822749	1.653022	75.182000	60.440000	
0.100000	0.815115	1.231832	75.112000	66.830000	
0.100000	0.810926	1.339750	75.596000	64.150000	
0.100000	0.809366	1.371851	75.476000	63.990000	
0.100000	0.811286	1.428715	75.380000	64.100000	
0.100000	0.804693	1.492923	75.602000	62.210000	
