Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.004928	3.787059	7.958000	11.280000	
0.100000	3.398031	3.270914	16.964000	19.410000	
0.100000	2.915072	3.003072	25.832000	25.670000	
0.100000	2.574542	3.078853	32.282000	26.660000	
0.100000	2.312760	2.703751	38.096000	34.160000	
0.100000	2.139374	2.284354	41.816000	40.800000	
0.100000	1.971316	2.331417	45.694000	41.070000	
0.100000	1.852644	2.200265	48.714000	43.060000	
0.100000	1.747352	2.267930	51.258000	42.620000	
0.100000	1.665180	2.127482	53.256000	46.420000	
0.100000	1.592033	1.779927	54.828000	51.810000	
0.100000	1.523443	1.815433	56.638000	52.320000	
0.100000	1.470062	1.866069	58.092000	50.530000	
0.100000	1.418587	1.714269	59.204000	53.420000	
0.100000	1.375060	1.656314	60.340000	54.520000	
0.100000	1.334046	1.657807	61.258000	55.770000	
0.100000	1.288044	1.665926	62.524000	55.320000	
0.100000	1.252269	1.626810	63.624000	56.130000	
0.100000	1.218859	1.703058	63.950000	56.590000	
0.100000	1.193569	1.610971	64.806000	56.000000	
0.100000	1.166399	1.673704	65.700000	57.120000	
0.100000	1.138553	1.661526	66.498000	56.180000	
0.100000	1.116892	1.611140	67.166000	57.230000	
0.100000	1.087478	1.811779	67.472000	53.580000	
0.100000	1.073444	1.656022	68.148000	56.740000	
0.100000	1.061112	1.750973	68.346000	55.270000	
0.100000	1.036546	1.808832	69.170000	54.870000	
0.100000	1.016973	1.563629	69.816000	59.340000	
0.100000	0.992754	1.557909	70.346000	59.350000	
0.100000	0.978309	1.535807	70.562000	60.110000	
0.100000	0.967859	1.519039	70.996000	60.240000	
0.100000	0.949480	1.506569	71.270000	60.450000	
0.100000	0.941654	1.509816	71.532000	60.830000	
0.100000	0.923753	1.571792	72.090000	60.060000	
0.100000	0.906837	1.559083	72.602000	59.780000	
0.100000	0.900856	1.550537	72.856000	60.110000	
0.100000	0.885310	1.641192	73.256000	58.500000	
0.100000	0.881667	1.479751	73.076000	61.830000	
0.100000	0.858975	1.848112	73.986000	56.960000	
0.100000	0.851242	1.433297	74.026000	62.740000	
0.100000	0.843786	1.442674	73.952000	62.270000	
0.100000	0.828015	1.509176	74.516000	60.880000	
0.100000	0.824452	1.694342	74.702000	58.410000	
0.100000	0.810405	1.486359	75.162000	62.110000	
0.100000	0.812048	1.552373	75.182000	60.640000	
0.100000	0.798914	1.619120	75.600000	59.230000	
0.100000	0.795068	1.626611	75.326000	60.110000	
0.100000	0.783336	1.523732	75.760000	61.280000	
0.100000	0.774330	1.467282	76.082000	61.430000	
0.100000	0.767711	1.660122	76.382000	59.970000	
0.100000	0.754775	1.656722	76.494000	60.290000	
0.100000	0.757275	1.490757	76.488000	62.510000	
0.100000	0.751652	1.556600	76.764000	60.930000	
0.100000	0.734545	1.479683	77.300000	61.950000	
