Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.503433	4.271484	2.150000	3.320000	
0.100000	4.141080	3.985930	4.754000	7.090000	
0.100000	3.870222	3.887743	8.842000	9.110000	
0.100000	3.536235	3.568857	14.644000	15.420000	
0.100000	3.194664	3.050827	20.688000	24.100000	
0.100000	2.917511	2.862093	26.216000	27.070000	
0.100000	2.649130	2.642204	31.194000	32.100000	
0.100000	2.432130	2.454105	36.026000	36.310000	
0.100000	2.256711	2.377934	39.816000	38.640000	
0.100000	2.110858	2.216106	42.970000	41.140000	
0.100000	1.990848	2.156112	45.654000	44.370000	
0.100000	1.869844	2.197358	48.526000	44.980000	
0.100000	1.774182	2.126234	50.716000	47.740000	
0.100000	1.690382	2.178754	52.766000	44.710000	
0.100000	1.623737	2.165155	54.504000	49.560000	
0.100000	1.569751	1.877256	55.606000	50.490000	
0.100000	1.506264	1.919053	57.222000	50.880000	
0.100000	1.465016	1.804727	58.226000	52.450000	
0.100000	1.417329	2.001449	59.470000	53.220000	
0.100000	1.377576	1.878336	60.148000	51.330000	
0.100000	1.341428	2.908165	61.290000	54.470000	
0.100000	1.311331	1.791350	62.152000	53.720000	
0.100000	1.281992	1.670684	62.710000	55.170000	
0.100000	1.249116	1.858847	63.686000	52.090000	
0.100000	1.240641	1.726093	64.058000	54.700000	
0.100000	1.195725	1.760246	65.236000	54.460000	
0.100000	1.166494	1.790389	65.812000	53.270000	
0.100000	1.147254	1.702149	66.138000	56.190000	
0.100000	1.125125	1.628280	66.786000	56.910000	
0.100000	1.107168	1.747754	67.260000	55.680000	
0.100000	1.086656	1.556330	68.038000	58.510000	
0.100000	1.062511	1.617151	68.538000	57.480000	
0.100000	1.043832	1.656411	68.946000	57.500000	
0.100000	1.015598	1.768909	69.696000	56.290000	
0.100000	1.019113	1.574587	69.600000	57.990000	
0.100000	0.997446	1.628889	70.138000	58.240000	
0.100000	0.981040	1.807814	70.770000	56.100000	
0.100000	0.965900	1.552740	70.972000	59.350000	
0.100000	0.952379	1.612975	71.266000	57.680000	
0.100000	0.929488	1.623872	71.962000	58.750000	
0.100000	0.931120	1.552528	71.826000	59.300000	
0.100000	0.914124	1.623697	72.604000	59.080000	
0.100000	0.908188	1.550351	72.316000	60.180000	
0.100000	0.890447	1.692343	73.010000	57.600000	
0.100000	0.885617	1.625650	73.130000	59.120000	
0.100000	0.866669	1.583832	73.724000	59.600000	
0.100000	0.855165	1.769731	73.776000	56.320000	
0.100000	0.856720	1.541226	73.826000	61.020000	
0.100000	0.843723	1.668674	74.404000	58.670000	
0.100000	0.839059	1.571883	74.450000	60.420000	
0.100000	0.822978	1.565582	74.850000	59.970000	
0.100000	0.819069	1.616415	75.018000	59.920000	
0.100000	0.808853	1.792775	75.192000	57.040000	
0.100000	0.803532	1.637251	75.428000	59.100000	
0.100000	0.787987	1.705682	75.812000	58.240000	
0.100000	0.793159	1.502404	75.644000	61.310000	
0.100000	0.782459	1.542878	76.026000	61.570000	
0.100000	0.776728	1.764952	76.144000	58.350000	
0.100000	0.768734	1.640027	76.324000	59.780000	
0.100000	0.763679	1.641337	76.576000	60.460000	
0.100000	0.756247	1.840780	76.828000	56.370000	
0.100000	0.752496	1.753283	76.714000	57.660000	
0.100000	0.746135	1.552326	77.008000	61.680000	
0.100000	0.738964	1.778707	77.272000	57.950000	
0.100000	0.736895	1.567250	77.126000	61.510000	
0.100000	0.730700	1.587847	77.298000	60.040000	
0.100000	0.728711	1.718659	77.306000	59.510000	
0.100000	0.727989	1.563539	77.636000	61.330000	
0.100000	0.718008	1.667947	77.820000	59.970000	
0.100000	0.707503	1.588399	77.900000	60.770000	
0.100000	0.710808	1.668216	77.828000	60.280000	
0.100000	0.703524	1.622117	78.340000	60.650000	
0.100000	0.702945	1.807099	78.316000	59.040000	
0.100000	0.700370	1.633035	78.302000	61.000000	
0.100000	0.696333	1.567436	78.310000	61.030000	
0.100000	0.682967	1.711803	78.734000	59.350000	
0.100000	0.693445	1.842359	78.438000	58.500000	
0.100000	0.683599	1.589988	78.740000	60.440000	
0.100000	0.674501	1.660593	78.912000	61.170000	
0.100000	0.669457	1.631775	79.172000	60.830000	
0.100000	0.667976	1.489250	79.220000	63.530000	
0.010000	0.376714	1.157416	88.564000	70.940000	
0.010000	0.285618	1.167719	91.514000	71.040000	
0.010000	0.248823	1.181628	92.638000	71.290000	
0.010000	0.227425	1.203163	93.258000	71.270000	
0.010000	0.207598	1.210632	93.912000	71.480000	
0.010000	0.192524	1.231487	94.340000	71.290000	
0.010000	0.178615	1.243122	94.838000	71.290000	
0.010000	0.167263	1.259995	95.176000	71.140000	
0.010000	0.159236	1.269962	95.490000	71.360000	
0.010000	0.149612	1.297010	95.816000	71.100000	
0.010000	0.138831	1.310726	96.112000	70.770000	
0.010000	0.132793	1.320059	96.354000	71.140000	
0.010000	0.125052	1.344254	96.592000	70.940000	
0.010000	0.119576	1.342349	96.680000	71.200000	
0.010000	0.116077	1.368297	96.760000	70.940000	
0.010000	0.109472	1.380667	97.048000	70.610000	
0.010000	0.103539	1.386781	97.248000	70.950000	
0.010000	0.101515	1.399944	97.276000	70.740000	
0.010000	0.095633	1.409687	97.346000	70.610000	
0.010000	0.090041	1.413343	97.710000	70.800000	
0.010000	0.089137	1.428307	97.654000	70.620000	
0.010000	0.085875	1.419561	97.778000	70.950000	
0.010000	0.080600	1.445075	97.938000	70.780000	
0.010000	0.079027	1.457163	98.062000	70.720000	
0.010000	0.075067	1.461126	98.098000	70.940000	
0.010000	0.073671	1.470744	98.194000	70.760000	
0.010000	0.068788	1.471239	98.362000	70.700000	
0.010000	0.066341	1.492551	98.432000	70.820000	
0.010000	0.063916	1.493076	98.496000	70.670000	
0.010000	0.062537	1.509013	98.496000	70.590000	
0.010000	0.060596	1.515422	98.600000	70.570000	
0.010000	0.059264	1.497246	98.618000	70.900000	
0.010000	0.057645	1.506879	98.624000	70.830000	
0.010000	0.054531	1.516538	98.838000	70.690000	
0.010000	0.055610	1.536920	98.698000	70.460000	
0.010000	0.052087	1.536416	98.836000	70.580000	
0.010000	0.051752	1.527245	98.794000	70.700000	
0.010000	0.051461	1.555165	98.840000	70.620000	
0.010000	0.050657	1.547879	98.860000	70.090000	
0.010000	0.047376	1.550129	98.902000	70.280000	
0.010000	0.047742	1.564949	98.984000	70.740000	
0.001000	0.042127	1.545791	99.182000	70.680000	
0.001000	0.040113	1.540939	99.200000	70.710000	
0.001000	0.037341	1.539258	99.326000	70.790000	
0.001000	0.036553	1.545790	99.340000	70.800000	
0.001000	0.036059	1.544873	99.368000	70.940000	
0.001000	0.035367	1.548600	99.354000	70.850000	
0.001000	0.034912	1.538815	99.388000	70.840000	
0.001000	0.034280	1.537927	99.458000	70.820000	
0.001000	0.032398	1.543949	99.510000	70.720000	
0.001000	0.033657	1.542369	99.422000	70.920000	
0.001000	0.033641	1.549661	99.428000	70.590000	
0.001000	0.033009	1.548874	99.436000	70.560000	
0.001000	0.032206	1.549172	99.478000	70.620000	
0.001000	0.033218	1.548521	99.408000	70.650000	
0.001000	0.031615	1.557194	99.482000	70.610000	
0.001000	0.032767	1.554394	99.460000	70.720000	
0.001000	0.031701	1.556047	99.516000	70.570000	
0.001000	0.031935	1.555883	99.514000	70.500000	
0.001000	0.031537	1.552711	99.472000	70.760000	
0.001000	0.031094	1.554155	99.514000	70.730000	
0.001000	0.030991	1.556184	99.516000	70.820000	
0.001000	0.031835	1.548256	99.496000	70.800000	
0.001000	0.031240	1.546655	99.498000	70.780000	
0.001000	0.030091	1.551666	99.532000	70.790000	
0.001000	0.029159	1.549217	99.606000	70.690000	
0.001000	0.030383	1.555850	99.560000	70.650000	
0.001000	0.029357	1.564136	99.568000	70.610000	
0.001000	0.029348	1.562362	99.532000	70.660000	
0.001000	0.029817	1.563695	99.504000	70.640000	
0.001000	0.029012	1.563039	99.526000	70.810000	
0.001000	0.030376	1.562770	99.528000	70.880000	
0.001000	0.029756	1.559482	99.514000	70.830000	
0.001000	0.029992	1.564894	99.508000	70.840000	
0.001000	0.029228	1.566477	99.558000	71.040000	
