Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.637335	4.360091	1.772000	3.420000	
0.100000	4.159372	3.984261	4.858000	6.870000	
0.100000	3.920330	3.820996	7.644000	9.020000	
0.100000	3.723523	3.664797	10.828000	11.830000	
0.100000	3.513817	3.526251	13.974000	14.120000	
0.100000	3.265690	3.614383	18.146000	14.120000	
0.100000	3.051649	3.294179	21.652000	19.520000	
0.100000	2.867830	3.327415	25.230000	19.600000	
0.100000	2.712157	3.128217	28.084000	24.360000	
0.100000	2.593485	2.730858	30.536000	28.720000	
0.100000	2.477819	3.027370	33.446000	24.860000	
0.100000	2.389038	2.572449	35.538000	34.340000	
0.100000	2.301796	2.774491	37.612000	30.090000	
0.100000	2.247878	2.845346	38.774000	31.470000	
0.100000	2.190691	2.780918	40.360000	31.380000	
0.100000	2.136239	2.493076	41.810000	35.910000	
0.100000	2.089749	2.922398	43.104000	31.430000	
0.100000	2.052091	2.602465	44.134000	34.690000	
0.100000	2.010254	2.188827	45.086000	42.260000	
0.100000	1.989838	2.383360	45.748000	39.100000	
0.100000	1.950657	2.568108	46.950000	35.520000	
0.100000	1.930602	2.314238	47.458000	41.160000	
0.100000	1.914695	2.330075	47.902000	39.830000	
0.100000	1.878665	2.184764	48.862000	43.700000	
0.100000	1.873494	2.461375	48.976000	39.520000	
0.100000	1.848776	2.089294	49.512000	45.660000	
0.100000	1.825176	2.414506	50.322000	39.770000	
0.100000	1.810593	2.168306	50.578000	44.300000	
0.100000	1.799203	2.620994	51.136000	37.050000	
0.100000	1.778806	2.334798	51.860000	42.740000	
0.100000	1.767537	2.185477	51.872000	43.860000	
0.100000	1.756126	2.330091	52.098000	41.880000	
0.100000	1.761452	1.956287	52.316000	48.800000	
0.100000	1.735434	2.339657	52.788000	41.760000	
0.100000	1.730811	2.293752	52.794000	44.270000	
0.100000	1.709661	2.293260	53.694000	42.500000	
0.100000	1.708845	2.195941	53.678000	45.010000	
0.100000	1.702483	2.174327	53.876000	44.710000	
0.100000	1.692992	2.191965	53.814000	44.920000	
0.100000	1.687492	2.291347	54.258000	43.630000	
0.100000	1.685506	2.119190	54.320000	46.940000	
0.100000	1.670648	2.245561	54.836000	43.940000	
0.100000	1.664387	2.233588	55.100000	44.830000	
0.100000	1.653255	2.310532	55.108000	44.500000	
0.100000	1.647909	2.754974	55.224000	36.420000	
0.100000	1.635050	2.240352	55.696000	43.470000	
0.100000	1.643798	2.236645	55.430000	45.030000	
0.100000	1.625935	2.102444	56.164000	49.000000	
0.100000	1.631249	2.332177	56.020000	43.390000	
0.100000	1.614604	2.080995	56.274000	48.180000	
0.100000	1.621698	2.133415	56.150000	46.550000	
0.100000	1.615197	2.228806	56.122000	45.190000	
0.100000	1.604392	2.151452	56.578000	46.400000	
0.100000	1.595340	2.383546	56.614000	42.350000	
0.100000	1.590098	2.227288	57.156000	44.980000	
0.100000	1.588365	2.027491	56.790000	48.540000	
0.100000	1.590332	2.513379	57.034000	42.310000	
0.100000	1.576409	2.131990	57.010000	47.350000	
0.100000	1.571213	2.185871	57.440000	45.960000	
0.100000	1.564365	2.148480	57.680000	47.950000	
0.100000	1.563351	2.213587	57.888000	45.270000	
