Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.912961	3.726044	11.661946	23.308000	
0.100000	3.749054	3.426804	24.535599	28.254000	
0.100000	3.511430	3.160964	28.090639	32.192000	
0.100000	3.411766	3.270005	29.619089	30.740000	
0.100000	3.363009	3.102837	30.366845	33.832000	
0.100000	3.329041	3.174922	30.892616	32.270000	
0.100000	3.310403	3.012698	31.254552	34.968000	
0.100000	3.292927	2.981722	31.489962	35.172000	
0.100000	3.279652	3.159773	31.674949	32.940000	
0.100000	3.267978	2.977855	31.915043	35.418000	
0.100000	3.261042	3.040771	32.071541	34.404000	
0.100000	3.254398	2.947602	32.125945	35.654000	
0.100000	3.247560	2.949966	32.250675	35.598000	
0.100000	3.241172	2.950885	32.328806	35.738000	
0.100000	3.241670	3.006878	32.353706	35.246000	
0.100000	3.237646	3.236123	32.366663	31.494000	
0.100000	3.234395	3.025063	32.432774	35.124000	
0.100000	3.229269	3.052886	32.515355	34.568000	
0.100000	3.230900	2.968654	32.510906	35.346000	
0.100000	3.223849	2.999472	32.642349	35.298000	
0.100000	3.225281	2.957063	32.606132	35.700000	
0.100000	3.219652	2.993688	32.672321	35.162000	
0.100000	3.221778	3.009515	32.632358	34.938000	
0.100000	3.218999	3.104933	32.751156	33.706000	
0.100000	3.216587	2.959661	32.728832	35.386000	
0.100000	3.214565	2.899053	32.729769	36.986000	
0.100000	3.211745	2.883595	32.819765	36.782000	
0.100000	3.213199	2.911422	32.733047	36.864000	
0.100000	3.208515	2.944082	32.927948	35.692000	
0.100000	3.210883	3.078693	32.887204	34.074000	
0.100000	3.210031	2.919769	32.850050	36.336000	
0.010000	2.357904	1.835818	48.077417	56.840000	
0.010000	2.203206	1.806459	50.847079	57.076000	
0.010000	2.181483	1.819191	51.173032	57.022000	
0.010000	2.180040	1.805644	51.242734	57.116000	
0.010000	2.178839	1.793463	51.247105	57.444000	
0.010000	2.172171	1.827296	51.385807	56.772000	
0.010000	2.163434	1.800625	51.494848	57.218000	
0.010000	2.156458	1.819786	51.674528	57.000000	
0.010000	2.146684	1.822989	51.810108	57.074000	
0.010000	2.139263	1.828718	51.948809	56.712000	
0.010000	2.134985	1.779660	52.031312	57.678000	
0.010000	2.129543	1.777893	52.137465	57.866000	
0.010000	2.122891	1.767966	52.281553	58.266000	
0.010000	2.118851	1.787197	52.358123	57.466000	
0.010000	2.114534	1.752107	52.425250	58.434000	
0.010000	2.112380	1.767774	52.497293	58.220000	
0.010000	2.107618	1.731002	52.562703	58.782000	
0.010000	2.101265	1.772436	52.723025	57.998000	
0.010000	2.099466	1.801185	52.729269	57.320000	
0.010000	2.098574	1.763149	52.777585	58.396000	
0.010000	2.096024	1.745608	52.767282	58.756000	
0.010000	2.092350	1.758648	52.899505	58.292000	
0.010000	2.091303	1.771006	52.867425	58.114000	
0.010000	2.090354	1.726291	52.898568	58.964000	
0.010000	2.087339	1.751574	52.973266	58.312000	
0.010000	2.085030	1.746389	53.021425	58.518000	
0.010000	2.082610	1.738474	53.024625	58.354000	
0.010000	2.085088	1.749182	53.004097	58.542000	
0.010000	2.080506	1.784670	53.138818	58.046000	
0.010000	2.080864	1.736263	53.062950	58.650000	
0.001000	1.741163	1.410505	60.220799	65.652000	
0.001000	1.661805	1.379047	61.807087	66.456000	
0.001000	1.629194	1.362734	62.438230	66.694000	
0.001000	1.604941	1.349269	62.926925	67.042000	
0.001000	1.589848	1.340410	63.199723	67.160000	
0.001000	1.574225	1.332565	63.560722	67.472000	
0.001000	1.564008	1.325531	63.752579	67.612000	
0.001000	1.553639	1.324629	63.999775	67.746000	
0.001000	1.547162	1.315799	64.161659	67.726000	
0.001000	1.536506	1.315945	64.303327	67.792000	
0.001000	1.532665	1.318585	64.397303	67.650000	
0.001000	1.527766	1.310916	64.482928	67.890000	
0.001000	1.524412	1.318359	64.541781	67.780000	
0.001000	1.522568	1.311244	64.539674	67.888000	
0.001000	1.518695	1.305116	64.612186	67.956000	
