Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.005000	1.909251	1.715601	28.810000	38.340000	
0.005000	1.591185	1.528531	40.866000	43.050000	
0.005000	1.444716	1.412723	46.562000	49.400000	
0.005000	1.314637	1.217209	51.896000	56.230000	
0.005000	1.203912	1.147099	56.356000	58.280000	
0.005000	1.107113	1.059559	60.014000	62.030000	
0.005000	1.020843	1.101599	63.516000	62.730000	
0.005000	0.952805	0.979214	65.982000	66.480000	
0.005000	0.877193	0.920591	68.810000	68.060000	
0.005000	0.817658	0.881916	70.906000	69.500000	
0.005000	0.759721	0.781105	73.026000	72.930000	
0.005000	0.716527	0.854479	75.010000	71.050000	
0.005000	0.678812	0.766972	76.004000	73.900000	
0.005000	0.652969	0.760931	77.074000	74.450000	
0.005000	0.623988	0.694340	78.218000	76.560000	
0.005000	0.595686	0.671888	78.996000	77.450000	
0.005000	0.571545	0.662486	80.032000	77.450000	
0.005000	0.548497	0.639659	81.016000	78.540000	
0.005000	0.527782	0.621246	81.556000	79.180000	
0.005000	0.509894	0.625665	82.108000	79.330000	
0.005000	0.489288	0.608492	83.032000	80.080000	
0.005000	0.477185	0.685293	83.078000	77.830000	
0.005000	0.458577	0.581834	84.010000	80.700000	
0.005000	0.440580	0.639042	84.706000	78.850000	
0.005000	0.430434	0.603266	84.906000	80.100000	
0.005000	0.419171	0.559454	85.516000	81.960000	
0.005000	0.410229	0.554314	85.754000	81.670000	
0.005000	0.393297	0.534525	86.162000	82.420000	
0.005000	0.387584	0.644239	86.520000	79.540000	
0.005000	0.372376	0.627583	86.892000	80.060000	
0.005000	0.360549	0.526150	87.374000	82.860000	
0.005000	0.351248	0.569835	87.724000	82.080000	
0.005000	0.337984	0.580871	88.226000	81.630000	
0.005000	0.327516	0.603426	88.402000	81.590000	
0.005000	0.325167	0.590578	88.502000	81.810000	
0.005000	0.312738	0.565338	89.092000	82.570000	
0.005000	0.309031	0.526847	89.000000	83.340000	
0.005000	0.298821	0.523604	89.382000	84.240000	
0.005000	0.290196	0.673232	89.720000	80.470000	
0.005000	0.284600	0.541321	89.918000	83.410000	
0.005000	0.278533	0.514050	90.176000	84.060000	
0.005000	0.267979	0.576970	90.474000	82.670000	
0.005000	0.259186	0.619079	90.890000	82.370000	
0.005000	0.254344	0.635714	91.008000	81.610000	
0.005000	0.247135	0.562621	91.324000	83.430000	
0.005000	0.243034	0.549036	91.458000	83.980000	
0.005000	0.234887	0.608291	91.748000	82.960000	
0.005000	0.232476	0.531927	91.712000	83.960000	
0.005000	0.226387	0.501783	92.014000	85.170000	
0.005000	0.216889	0.610834	92.360000	82.740000	
0.005000	0.213648	0.529868	92.416000	84.610000	
0.005000	0.213191	0.607773	92.464000	83.580000	
0.005000	0.207674	0.536116	92.622000	84.380000	
0.005000	0.199837	0.516563	92.872000	85.140000	
0.005000	0.196196	0.577179	92.934000	83.690000	
0.005000	0.187128	0.591306	93.222000	83.630000	
0.005000	0.185526	0.570095	93.400000	84.160000	
0.005000	0.181201	0.603539	93.532000	83.910000	
0.005000	0.177610	0.568388	93.636000	84.080000	
0.005000	0.176920	0.557547	93.668000	85.090000	
0.005000	0.170091	0.579797	93.920000	84.600000	
0.005000	0.170680	0.660221	93.934000	82.360000	
0.005000	0.163825	0.649165	94.040000	84.080000	
0.005000	0.158662	0.600019	94.278000	84.340000	
0.005000	0.160763	0.524876	94.212000	85.510000	
0.005000	0.149603	0.548779	94.646000	85.110000	
0.005000	0.153827	0.545203	94.496000	85.400000	
0.005000	0.146657	0.639078	94.738000	84.230000	
0.005000	0.142275	0.561346	94.882000	85.450000	
0.005000	0.143871	0.572311	94.816000	85.330000	
0.005000	0.133688	0.606044	95.184000	84.720000	
0.005000	0.135366	0.569675	95.140000	85.680000	
0.005000	0.130581	0.638993	95.412000	84.640000	
0.005000	0.131659	0.563909	95.298000	86.020000	
0.005000	0.125337	0.682673	95.536000	84.060000	
0.005000	0.123142	0.661989	95.590000	83.810000	
0.005000	0.121620	0.666261	95.712000	84.160000	
0.005000	0.119496	0.578232	95.670000	85.180000	
0.005000	0.117376	0.636172	95.704000	84.890000	
0.005000	0.115097	0.594010	95.912000	85.850000	
0.005000	0.111872	0.574685	95.966000	86.330000	
0.000500	0.069453	0.508774	97.570000	87.700000	
0.000500	0.052154	0.517193	98.254000	87.900000	
0.000500	0.049714	0.520214	98.340000	87.790000	
0.000500	0.044739	0.524039	98.588000	87.710000	
0.000500	0.043246	0.528171	98.616000	87.840000	
0.000500	0.040504	0.529730	98.732000	87.970000	
0.000500	0.038784	0.538224	98.814000	87.740000	
0.000500	0.037207	0.550059	98.816000	87.670000	
0.000500	0.035748	0.547276	98.904000	87.740000	
0.000500	0.035205	0.557045	98.900000	87.770000	
0.000500	0.034737	0.560096	98.960000	87.700000	
0.000500	0.035680	0.557766	98.812000	87.820000	
0.000500	0.032553	0.564370	98.972000	87.750000	
0.000500	0.031979	0.562835	99.024000	87.930000	
0.000500	0.029358	0.568216	99.126000	87.550000	
0.000500	0.029622	0.566182	99.084000	87.640000	
0.000500	0.029538	0.576759	99.080000	87.690000	
0.000500	0.030005	0.573249	99.016000	87.840000	
0.000500	0.027685	0.578174	99.106000	87.620000	
0.000500	0.027885	0.581655	99.108000	87.670000	
0.000500	0.028826	0.584795	99.048000	87.560000	
0.000500	0.028282	0.585539	99.124000	87.650000	
0.000500	0.025920	0.588802	99.196000	87.740000	
0.000500	0.026161	0.586075	99.170000	87.860000	
0.000500	0.026885	0.590052	99.128000	87.890000	
0.000500	0.025790	0.596384	99.212000	87.880000	
0.000500	0.024207	0.597287	99.248000	87.830000	
0.000500	0.024733	0.598719	99.236000	87.890000	
0.000500	0.025256	0.604082	99.228000	87.770000	
0.000500	0.022951	0.603858	99.308000	87.790000	
0.000500	0.022952	0.611726	99.296000	87.690000	
0.000500	0.023732	0.608912	99.252000	87.620000	
0.000500	0.023080	0.614570	99.312000	87.780000	
0.000500	0.024962	0.619145	99.198000	87.540000	
0.000500	0.022638	0.629403	99.286000	87.540000	
0.000500	0.021471	0.631597	99.380000	87.530000	
0.000500	0.021874	0.631107	99.334000	87.620000	
0.000500	0.021738	0.628986	99.306000	87.580000	
0.000500	0.021523	0.630442	99.320000	87.540000	
0.000500	0.020845	0.637361	99.378000	87.640000	
0.000500	0.020239	0.632277	99.364000	87.720000	
0.000050	0.020025	0.634081	99.358000	87.740000	
0.000050	0.019341	0.635164	99.428000	87.660000	
0.000050	0.019719	0.635867	99.422000	87.720000	
0.000050	0.018787	0.633998	99.424000	87.800000	
0.000050	0.020428	0.636176	99.364000	87.770000	
0.000050	0.018552	0.636745	99.406000	87.770000	
0.000050	0.018983	0.633571	99.442000	87.730000	
0.000050	0.018976	0.637254	99.426000	87.740000	
0.000050	0.019245	0.632544	99.388000	87.790000	
0.000050	0.017284	0.634367	99.500000	87.720000	
