Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.005000	3.912958	3.489255	9.604000	15.440000	
0.005000	3.269063	3.097483	19.568000	22.940000	
0.005000	2.880295	2.799817	26.606000	27.920000	
0.005000	2.576895	2.457056	32.464000	35.750000	
0.005000	2.334906	2.493116	37.746000	35.040000	
0.005000	2.145861	2.165125	42.060000	41.750000	
0.005000	1.976597	2.087714	45.746000	44.240000	
0.005000	1.831912	1.920738	49.154000	47.470000	
0.005000	1.709220	1.997872	52.304000	46.260000	
0.005000	1.608195	1.880371	54.748000	49.420000	
0.005000	1.501535	1.776139	57.106000	51.530000	
0.005000	1.407068	1.750293	59.540000	52.170000	
0.005000	1.329852	1.739618	61.290000	52.590000	
0.005000	1.253427	1.725325	63.508000	53.400000	
0.005000	1.169736	1.663417	65.522000	55.990000	
0.005000	1.102704	1.735022	67.502000	53.920000	
0.005000	1.034866	1.632853	69.246000	56.310000	
0.005000	0.979892	1.736342	70.578000	54.340000	
0.005000	0.923749	1.642522	72.286000	56.590000	
0.005000	0.856870	1.586669	73.980000	57.780000	
0.005000	0.801215	1.608334	75.494000	57.990000	
0.005000	0.759134	1.646651	76.878000	57.890000	
0.005000	0.706913	1.596481	78.230000	58.710000	
0.005000	0.655125	1.550439	79.582000	60.230000	
0.005000	0.606858	1.684306	81.104000	58.060000	
0.005000	0.570905	1.609299	82.158000	58.710000	
0.005000	0.539087	1.616487	83.068000	59.160000	
0.005000	0.505825	1.632959	84.114000	59.720000	
0.005000	0.459289	1.637969	85.386000	59.590000	
0.005000	0.424798	1.648665	86.612000	59.160000	
0.005000	0.393973	1.683245	87.664000	59.820000	
0.005000	0.364853	1.653746	88.598000	60.710000	
0.005000	0.344343	1.768653	89.130000	59.300000	
0.005000	0.330556	1.737847	89.650000	59.960000	
0.005000	0.299309	1.677006	90.582000	61.270000	
0.005000	0.280230	1.781547	91.252000	60.060000	
0.005000	0.260115	1.771831	91.886000	60.330000	
0.005000	0.238668	1.703537	92.698000	61.830000	
0.005000	0.224350	1.756121	93.000000	60.980000	
0.005000	0.210552	1.803467	93.626000	60.690000	
0.005000	0.208143	1.805210	93.632000	60.750000	
0.005000	0.197418	1.790541	93.826000	61.100000	
0.005000	0.184659	1.804893	94.350000	61.270000	
0.005000	0.167090	1.764203	94.818000	62.450000	
0.005000	0.146130	1.736979	95.644000	62.850000	
0.005000	0.151316	1.765703	95.480000	61.880000	
0.005000	0.149801	1.859970	95.438000	60.150000	
0.005000	0.145086	1.808431	95.574000	61.480000	
0.005000	0.132149	1.744561	96.108000	61.850000	
0.005000	0.135016	1.741228	95.938000	62.660000	
0.005000	0.129712	1.781966	96.162000	62.030000	
0.005000	0.127539	1.911064	96.194000	59.990000	
0.005000	0.126089	1.801711	96.176000	62.230000	
0.005000	0.120735	1.784956	96.402000	62.190000	
0.005000	0.114795	1.738012	96.628000	62.930000	
0.005000	0.105440	1.777510	96.964000	62.990000	
0.005000	0.103588	1.780748	96.954000	61.920000	
0.005000	0.097462	1.742318	97.198000	63.560000	
0.005000	0.091442	1.838830	97.372000	61.680000	
0.005000	0.102247	1.779994	97.012000	62.500000	
0.005000	0.090682	1.717930	97.436000	63.400000	
0.005000	0.092426	1.804204	97.422000	62.780000	
0.005000	0.097527	1.792574	97.206000	62.600000	
0.005000	0.096152	1.848116	97.204000	61.700000	
0.005000	0.086773	1.774208	97.524000	62.610000	
0.005000	0.088444	1.829126	97.468000	62.070000	
0.005000	0.098856	1.803252	97.134000	62.450000	
0.005000	0.096490	1.803329	97.256000	62.660000	
0.005000	0.089850	1.789455	97.426000	63.290000	
0.005000	0.093346	1.801258	97.348000	62.280000	
0.005000	0.096903	1.884891	97.192000	61.420000	
0.005000	0.094174	1.827753	97.336000	62.160000	
0.005000	0.092330	1.874519	97.354000	61.180000	
0.005000	0.094340	1.822501	97.234000	62.040000	
0.005000	0.084614	1.796561	97.588000	63.180000	
0.005000	0.085395	1.817555	97.564000	63.020000	
0.005000	0.083308	1.799048	97.618000	62.520000	
0.005000	0.081414	1.820820	97.680000	62.470000	
0.005000	0.080933	1.814348	97.778000	62.890000	
0.005000	0.087847	1.831694	97.478000	62.820000	
0.005000	0.079540	1.848272	97.752000	61.940000	
0.000500	0.035390	1.617788	99.192000	65.940000	
0.000500	0.018173	1.598028	99.722000	66.410000	
0.000500	0.014691	1.588447	99.766000	66.540000	
0.000500	0.012089	1.584989	99.824000	66.630000	
0.000500	0.010969	1.573393	99.846000	66.860000	
0.000500	0.009606	1.572361	99.874000	66.700000	
0.000500	0.008831	1.570107	99.890000	66.740000	
0.000500	0.008832	1.562628	99.890000	66.920000	
0.000500	0.007745	1.568039	99.904000	67.000000	
0.000500	0.007685	1.572079	99.906000	66.960000	
0.000500	0.007219	1.562352	99.914000	67.250000	
0.000500	0.007477	1.564613	99.908000	67.230000	
0.000500	0.006580	1.556601	99.930000	67.220000	
0.000500	0.006954	1.562937	99.910000	67.300000	
0.000500	0.006599	1.556853	99.916000	67.250000	
0.000500	0.006400	1.551902	99.928000	67.460000	
0.000500	0.005848	1.550134	99.942000	67.300000	
0.000500	0.005992	1.554425	99.928000	67.500000	
0.000500	0.005614	1.555341	99.936000	67.530000	
0.000500	0.005399	1.550919	99.944000	67.400000	
0.000500	0.005509	1.548878	99.946000	67.510000	
0.000500	0.005149	1.544363	99.944000	67.570000	
0.000500	0.005240	1.542784	99.928000	67.590000	
