Epoch	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Time	Learning Rate	
0.000000	4.111235	3.846820	5.382000	7.530000	68.764235	[0.005, 0.005, 0.030858160014868685, 0.030858160014868685, 0.1, 0.1, 0.08340030002078866, 0.08340030002078866, 0.1, 0.1, 0.09878192158947896, 0.09878192158947896, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.07275703601782349, 0.07275703601782349, 0.1, 0.1, 0.06431971996912808, 0.06431971996912808, 0.1, 0.1, 0.060793852688081525, 0.060793852688081525, 0.1, 0.1, 0.05197223349002886, 0.05197223349002886, 0.08464850219976387, 0.08464850219976387, 0.03239989413758252, 0.03239989413758252, 0.05275175439268548, 0.05275175439268548, 0.024372125853222685, 0.024372125853222685, 0.02893957016652472, 0.02893957016652472, 0.013103191812247028, 0.013103191812247028, 0.018823530666942513, 0.018823530666942513, 0.010269452874909433, 0.010269452874909433, 0.0018167637751805238, 0.0018167637751805238]	
1.000000	3.634735	3.701802	11.562000	12.390000	61.204541	[0.005, 0.005, 0.02653978413399191, 0.02653978413399191, 0.1, 0.1, 0.06610158613164062, 0.06610158613164062, 0.1, 0.1, 0.08019559059314871, 0.08019559059314871, 0.1, 0.1, 0.08608544438548849, 0.08608544438548849, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.09062782072026748, 0.09062782072026748, 0.1, 0.1, 0.07489049795150686, 0.07489049795150686, 0.1, 0.1, 0.04617092080669598, 0.04617092080669598, 0.1, 0.1, 0.039539163222279114, 0.039539163222279114, 0.09911929324045614, 0.09911929324045614, 0.036785561883697346, 0.036785561883697346, 0.08650312596922291, 0.08650312596922291, 0.02672497985598851, 0.02672497985598851, 0.04193706432497174, 0.04193706432497174, 0.013948163720899189, 0.013948163720899189, 0.021924729108353257, 0.021924729108353257, 0.008757458545833416, 0.008757458545833416, 0.011978203719560487, 0.011978203719560487, 0.004826869366027258, 0.004826869366027258, 0.007337638257351248, 0.007337638257351248, 0.0039209142683338015, 0.0039209142683338015, 0.0008011360250991239, 0.0008011360250991239]	
2.000000	3.235060	3.103611	17.986000	19.810000	61.345949	[0.005, 0.005, 0.02170062112402028, 0.02170062112402028, 0.1, 0.1, 0.041484552971284776, 0.041484552971284776, 0.1, 0.1, 0.04924513185785651, 0.04924513185785651, 0.1, 0.1, 0.06119149743348857, 0.06119149743348857, 0.1, 0.1, 0.07798579250087127, 0.07798579250087127, 0.1, 0.1, 0.07338346967221368, 0.07338346967221368, 0.1, 0.1, 0.06564894677116344, 0.06564894677116344, 0.1, 0.1, 0.0563461699341386, 0.0563461699341386, 0.1, 0.1, 0.033582384234745105, 0.033582384234745105, 0.09197586889296534, 0.09197586889296534, 0.027015329933861545, 0.027015329933861545, 0.08733905136554812, 0.08733905136554812, 0.0267514993001277, 0.0267514993001277, 0.07483061789173974, 0.07483061789173974, 0.021765194759753442, 0.021765194759753442, 0.0378310938457484, 0.0378310938457484, 0.012118165406006763, 0.012118165406006763, 0.02242021369081274, 0.02242021369081274, 0.009883975806237384, 0.009883975806237384, 0.013886516503609853, 0.013886516503609853, 0.004861271940090443, 0.004861271940090443, 0.008270338615003824, 0.008270338615003824, 0.004733336365810272, 0.004733336365810272, 0.0008769043141411832, 0.0008769043141411832]	
3.000000	2.929543	2.850373	23.978000	25.100000	61.730850	[0.005, 0.005, 0.0186269097129168, 0.0186269097129168, 0.1, 0.1, 0.030797794882227347, 0.030797794882227347, 0.1, 0.1, 0.037662526147492714, 0.037662526147492714, 0.1, 0.1, 0.0409909708839016, 0.0409909708839016, 0.1, 0.1, 0.046681747194737604, 0.046681747194737604, 0.1, 0.1, 0.04780911689667728, 0.04780911689667728, 0.1, 0.1, 0.04363582292987433, 0.04363582292987433, 0.1, 0.1, 0.03382728440518376, 0.03382728440518376, 0.1, 0.1, 0.01962260529161952, 0.01962260529161952, 0.061674257481912305, 0.061674257481912305, 0.01729906854992651, 0.01729906854992651, 0.0562062844241292, 0.0562062844241292, 0.013789074117062006, 0.013789074117062006, 0.04586807335807396, 0.04586807335807396, 0.011355955114074523, 0.011355955114074523, 0.02311193922355975, 0.02311193922355975, 0.007301389480240477, 0.007301389480240477, 0.014490815871070581, 0.014490815871070581, 0.0069611320034216155, 0.0069611320034216155, 0.009297968059451229, 0.009297968059451229, 0.003968414665834752, 0.003968414665834752, 0.006180667038771417, 0.006180667038771417, 0.003501975056993977, 0.003501975056993977, 0.0007496072609153908, 0.0007496072609153908]	
4.000000	2.683897	2.722870	28.854000	27.880000	61.756221	[0.005, 0.005, 0.016081275126358596, 0.016081275126358596, 0.1, 0.1, 0.026025254626887442, 0.026025254626887442, 0.1, 0.1, 0.03541334232033385, 0.03541334232033385, 0.1, 0.1, 0.03835299406557074, 0.03835299406557074, 0.1, 0.1, 0.048367182918164275, 0.048367182918164275, 0.1, 0.1, 0.04328790348572586, 0.04328790348572586, 0.1, 0.1, 0.03619821609271642, 0.03619821609271642, 0.1, 0.1, 0.032348202151080675, 0.032348202151080675, 0.0999270408141349, 0.0999270408141349, 0.018158553725245167, 0.018158553725245167, 0.05477950536416045, 0.05477950536416045, 0.01640782826409848, 0.01640782826409848, 0.04837844451151279, 0.04837844451151279, 0.011673286347672085, 0.011673286347672085, 0.03729578379097152, 0.03729578379097152, 0.01041343038727576, 0.01041343038727576, 0.019120867207743506, 0.019120867207743506, 0.006779941577885786, 0.006779941577885786, 0.012462495170990809, 0.012462495170990809, 0.00581483527618319, 0.00581483527618319, 0.007751856809531352, 0.007751856809531352, 0.003853630773184808, 0.003853630773184808, 0.00591906133616405, 0.00591906133616405, 0.0033609433864864153, 0.0033609433864864153, 0.0005, 0.0005]	
5.000000	2.478929	2.490820	33.094000	32.630000	61.982797	[0.005, 0.005, 0.017071997895036297, 0.017071997895036297, 0.1, 0.1, 0.02543319361716217, 0.02543319361716217, 0.1, 0.1, 0.03153502648074863, 0.03153502648074863, 0.1, 0.1, 0.03433230952397509, 0.03433230952397509, 0.1, 0.1, 0.04507533433948665, 0.04507533433948665, 0.1, 0.1, 0.040290368238795164, 0.040290368238795164, 0.1, 0.1, 0.03427516111793777, 0.03427516111793777, 0.1, 0.1, 0.026579607027041652, 0.026579607027041652, 0.09764879776232428, 0.09764879776232428, 0.017339321514726384, 0.017339321514726384, 0.051355900698619374, 0.051355900698619374, 0.013453580467476982, 0.013453580467476982, 0.045267393525617476, 0.045267393525617476, 0.011252144682155319, 0.011252144682155319, 0.03644059638706307, 0.03644059638706307, 0.008889621875886529, 0.008889621875886529, 0.01963951335135685, 0.01963951335135685, 0.006189272884352938, 0.006189272884352938, 0.012947275377675243, 0.012947275377675243, 0.005825553215847906, 0.005825553215847906, 0.008451583771033062, 0.008451583771033062, 0.004171119321105621, 0.004171119321105621, 0.00567758458728889, 0.00567758458728889, 0.003520802265810068, 0.003520802265810068, 0.0005394805300345325, 0.0005394805300345325]	
6.000000	2.327360	2.307823	36.598000	37.640000	62.011278	[0.005, 0.005, 0.015501422418279991, 0.015501422418279991, 0.1, 0.1, 0.022753923660472956, 0.022753923660472956, 0.1, 0.1, 0.026132677658530255, 0.026132677658530255, 0.1, 0.1, 0.028968196393347797, 0.028968196393347797, 0.1, 0.1, 0.02860244652642743, 0.02860244652642743, 0.1, 0.1, 0.028897519307097875, 0.028897519307097875, 0.1, 0.1, 0.024687793410371497, 0.024687793410371497, 0.1, 0.1, 0.019733922496409814, 0.019733922496409814, 0.07356724830997767, 0.07356724830997767, 0.011614071966594705, 0.011614071966594705, 0.038995474052673944, 0.038995474052673944, 0.01017263884669815, 0.01017263884669815, 0.03283251534167054, 0.03283251534167054, 0.007949680959537337, 0.007949680959537337, 0.024848906888460184, 0.024848906888460184, 0.0063821547215850895, 0.0063821547215850895, 0.013390317412300465, 0.013390317412300465, 0.004263472945886477, 0.004263472945886477, 0.009236184099638473, 0.009236184099638473, 0.0037660621874881953, 0.0037660621874881953, 0.005977645244827973, 0.005977645244827973, 0.0024150491271887754, 0.0024150491271887754, 0.004312688679201546, 0.004312688679201546, 0.0024548846796600527, 0.0024548846796600527, 0.0005, 0.0005]	
7.000000	2.207409	2.390069	39.160000	36.950000	62.142329	[0.005, 0.005, 0.011865899788910554, 0.011865899788910554, 0.1, 0.1, 0.018856621725898127, 0.018856621725898127, 0.1, 0.1, 0.023007967432354795, 0.023007967432354795, 0.1, 0.1, 0.02196594960417094, 0.02196594960417094, 0.1, 0.1, 0.025453269518388527, 0.025453269518388527, 0.1, 0.1, 0.0239458312423922, 0.0239458312423922, 0.1, 0.1, 0.02087756892401786, 0.02087756892401786, 0.1, 0.1, 0.01859798611402696, 0.01859798611402696, 0.07002430981134246, 0.07002430981134246, 0.010971087146577919, 0.010971087146577919, 0.03467915000106783, 0.03467915000106783, 0.007671895339597184, 0.007671895339597184, 0.02801169419842327, 0.02801169419842327, 0.0063014338533825855, 0.0063014338533825855, 0.021868942241488547, 0.021868942241488547, 0.005524935537189956, 0.005524935537189956, 0.011985803392761226, 0.011985803392761226, 0.0037372075558737834, 0.0037372075558737834, 0.007995289093059141, 0.007995289093059141, 0.003555671033724619, 0.003555671033724619, 0.005282002901215863, 0.005282002901215863, 0.0020713126418762558, 0.0020713126418762558, 0.0032928866536011217, 0.0032928866536011217, 0.001793591291300347, 0.001793591291300347, 0.0005, 0.0005]	
8.000000	2.085651	2.217780	42.370000	40.140000	62.341046	[0.005, 0.005, 0.01292199234538738, 0.01292199234538738, 0.1, 0.1, 0.018113076091433342, 0.018113076091433342, 0.1, 0.1, 0.02182885562863102, 0.02182885562863102, 0.1, 0.1, 0.024879216161576585, 0.024879216161576585, 0.1, 0.1, 0.02618220028324874, 0.02618220028324874, 0.1, 0.1, 0.02420705930731324, 0.02420705930731324, 0.1, 0.1, 0.02097902253433375, 0.02097902253433375, 0.1, 0.1, 0.01629450147622604, 0.01629450147622604, 0.06587061067323983, 0.06587061067323983, 0.010467339494984025, 0.010467339494984025, 0.0335862587233334, 0.0335862587233334, 0.007431723815677184, 0.007431723815677184, 0.027343582994882234, 0.027343582994882234, 0.005580438851877786, 0.005580438851877786, 0.020997050524930616, 0.020997050524930616, 0.00505285948035312, 0.00505285948035312, 0.011623671112614134, 0.011623671112614134, 0.0037118011063133616, 0.0037118011063133616, 0.007816552149343046, 0.007816552149343046, 0.002750667131755464, 0.002750667131755464, 0.005285892131585732, 0.005285892131585732, 0.002100110943944881, 0.002100110943944881, 0.003937224460203961, 0.003937224460203961, 0.0023727545119489914, 0.0023727545119489914, 0.0005, 0.0005]	
9.000000	1.997951	2.167295	44.530000	41.380000	62.287667	[0.005, 0.005, 0.010682967776536365, 0.010682967776536365, 0.1, 0.1, 0.015773702094309564, 0.015773702094309564, 0.1, 0.1, 0.018959869620764826, 0.018959869620764826, 0.1, 0.1, 0.021892499652940756, 0.021892499652940756, 0.1, 0.1, 0.023857494549192608, 0.023857494549192608, 0.1, 0.1, 0.022633466283623248, 0.022633466283623248, 0.1, 0.1, 0.01972280468901714, 0.01972280468901714, 0.1, 0.1, 0.014710682684092945, 0.014710682684092945, 0.06491525208556588, 0.06491525208556588, 0.008945472217335044, 0.008945472217335044, 0.03240960826803763, 0.03240960826803763, 0.007101670541755688, 0.007101670541755688, 0.025615934668820676, 0.025615934668820676, 0.005568385885043318, 0.005568385885043318, 0.019536076489550375, 0.019536076489550375, 0.0050586065909485915, 0.0050586065909485915, 0.011200195256892134, 0.011200195256892134, 0.0033586708396606945, 0.0033586708396606945, 0.007973937201164795, 0.007973937201164795, 0.0033474870845545917, 0.0033474870845545917, 0.005365046967813164, 0.005365046967813164, 0.0022408911833023647, 0.0022408911833023647, 0.0043461648180851496, 0.0043461648180851496, 0.002389997566879727, 0.002389997566879727, 0.0005, 0.0005]	
