Epoch	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Time	Learning Rate	
0.000000	1.551993	1.192437	42.122000	57.270000	60.455938	[0.0049999999999375, 0.0049999999999375, 0.08592471650898542, 0.08592471650898542, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.09999999999874999, 0.08720437149575312, 0.08720437149575312, 0.09999999999874999, 0.09999999999874999, 0.07612891330724264, 0.07612891330724264, 0.09999999999874999, 0.09999999999874999, 0.06690325371851166, 0.06690325371851166, 0.09999999999874999, 0.09999999999874999, 0.03356209030798615, 0.03356209030798615, 0.0922397030153928, 0.0922397030153928, 0.03266613669088091, 0.03266613669088091, 0.062215955373952046, 0.062215955373952046, 0.017197527602851443, 0.017197527602851443, 0.034356327792016146, 0.034356327792016146, 0.011824436495593414, 0.011824436495593414, 0.003894885432162276, 0.003894885432162276]	
1.000000	1.049616	1.087642	62.670000	63.040000	56.168478	[0.004414161826062489, 0.004414161826062489, 0.04016616219941711, 0.04016616219941711, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.08825136757159906, 0.04744161549225053, 0.04744161549225053, 0.08825136757159906, 0.08825136757159906, 0.03996833673577785, 0.03996833673577785, 0.08825136757159906, 0.08825136757159906, 0.034899331236639755, 0.034899331236639755, 0.08825136757159906, 0.08825136757159906, 0.028432792560698795, 0.028432792560698795, 0.06506490476365974, 0.06506490476365974, 0.017259777711113113, 0.017259777711113113, 0.04419220111657111, 0.04419220111657111, 0.01315602878073452, 0.01315602878073452, 0.02844567130659157, 0.02844567130659157, 0.009578401439175115, 0.009578401439175115, 0.0218294998548633, 0.0218294998548633, 0.010083195463127926, 0.010083195463127926, 0.002881389937814998, 0.002881389937814998]	
2.000000	0.831149	0.769783	71.252000	73.740000	56.335140	[0.003985582109800696, 0.003985582109800696, 0.03615695955489164, 0.03615695955489164, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.07797165650158416, 0.04472954517883856, 0.04472954517883856, 0.07797165650158416, 0.07797165650158416, 0.04362782207917544, 0.04362782207917544, 0.07797165650158416, 0.07797165650158416, 0.03113760062920004, 0.03113760062920004, 0.07797165650158416, 0.07797165650158416, 0.02370253156866757, 0.02370253156866757, 0.05827902343265721, 0.05827902343265721, 0.017084876642282417, 0.017084876642282417, 0.03979597731119907, 0.03979597731119907, 0.012099254589224262, 0.012099254589224262, 0.026381537026877983, 0.026381537026877983, 0.007223658892872863, 0.007223658892872863, 0.018424991733225177, 0.018424991733225177, 0.007756478018012876, 0.007756478018012876, 0.0028918921963200666, 0.0028918921963200666]	
3.000000	0.700054	0.734778	76.202000	74.880000	56.189350	[0.003783863650068869, 0.003783863650068869, 0.026856282971620217, 0.026856282971620217, 0.06907634513521123, 0.06907634513521123, 0.058964592884340715, 0.058964592884340715, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06907634513521123, 0.06660313775157069, 0.06660313775157069, 0.06907634513521123, 0.06907634513521123, 0.05870908842757208, 0.05870908842757208, 0.06907634513521123, 0.06907634513521123, 0.043615964269646215, 0.043615964269646215, 0.06907634513521123, 0.06907634513521123, 0.02713525402322887, 0.02713525402322887, 0.06907634513521123, 0.06907634513521123, 0.024609935799408164, 0.024609935799408164, 0.06907634513521123, 0.06907634513521123, 0.017254638298340542, 0.017254638298340542, 0.05813672298439883, 0.05813672298439883, 0.013464355001298481, 0.013464355001298481, 0.03348422578220582, 0.03348422578220582, 0.009940096601067233, 0.009940096601067233, 0.023330042442711175, 0.023330042442711175, 0.00782909378070639, 0.00782909378070639, 0.016675637788203346, 0.016675637788203346, 0.005400094096321073, 0.005400094096321073, 0.01213349560755315, 0.01213349560755315, 0.005682582537710982, 0.005682582537710982, 0.0019530714539602318, 0.0019530714539602318]	
4.000000	0.622195	0.636787	79.006000	78.700000	56.430599	[0.003709329714746231, 0.003709329714746231, 0.018466213378188906, 0.018466213378188906, 0.0613297423874464, 0.0613297423874464, 0.047353627962139044, 0.047353627962139044, 0.0613297423874464, 0.0613297423874464, 0.052989539968184875, 0.052989539968184875, 0.0613297423874464, 0.0613297423874464, 0.05020400440965671, 0.05020400440965671, 0.0613297423874464, 0.0613297423874464, 0.05401234736332098, 0.05401234736332098, 0.0613297423874464, 0.0613297423874464, 0.04740138154420061, 0.04740138154420061, 0.0613297423874464, 0.0613297423874464, 0.04157258708830224, 0.04157258708830224, 0.0613297423874464, 0.0613297423874464, 0.03191770815385071, 0.03191770815385071, 0.0613297423874464, 0.0613297423874464, 0.01972488458235743, 0.01972488458235743, 0.0613297423874464, 0.0613297423874464, 0.018649559938793456, 0.018649559938793456, 0.0613297423874464, 0.0613297423874464, 0.014141416433896515, 0.014141416433896515, 0.04944688536972671, 0.04944688536972671, 0.011020146754461583, 0.011020146754461583, 0.02783080432629697, 0.02783080432629697, 0.00833710212184005, 0.00833710212184005, 0.02032913032533433, 0.02032913032533433, 0.006972737263116038, 0.006972737263116038, 0.01405270024682531, 0.01405270024682531, 0.005015728989039252, 0.005015728989039252, 0.01188923189917644, 0.01188923189917644, 0.006224603658868058, 0.006224603658868058, 0.002042143519515591, 0.002042143519515591]	
5.000000	0.543645	0.531037	81.540000	82.040000	57.004106	[0.0036857897325682284, 0.0036857897325682284, 0.01773986682087315, 0.01773986682087315, 0.0545356254418723, 0.0545356254418723, 0.0359501341229128, 0.0359501341229128, 0.0545356254418723, 0.0545356254418723, 0.05028393780395358, 0.05028393780395358, 0.0545356254418723, 0.0545356254418723, 0.0545356254418723, 0.0545356254418723, 0.0545356254418723, 0.0545356254418723, 0.0545356254418723, 0.0545356254418723, 0.0545356254418723, 0.0545356254418723, 0.04855270113409127, 0.04855270113409127, 0.0545356254418723, 0.0545356254418723, 0.03770456289921147, 0.03770456289921147, 0.0545356254418723, 0.0545356254418723, 0.028889896147055293, 0.028889896147055293, 0.0545356254418723, 0.0545356254418723, 0.019094888124142985, 0.019094888124142985, 0.0545356254418723, 0.0545356254418723, 0.016235988036772037, 0.016235988036772037, 0.04791709984938583, 0.04791709984938583, 0.011595174687567506, 0.011595174687567506, 0.03420317908789483, 0.03420317908789483, 0.009119760453863108, 0.009119760453863108, 0.0204616993327796, 0.0204616993327796, 0.006451701370136228, 0.006451701370136228, 0.015850115035270902, 0.015850115035270902, 0.006011006018861424, 0.006011006018861424, 0.012291994267959554, 0.012291994267959554, 0.004163810664853404, 0.004163810664853404, 0.00921182177116468, 0.00921182177116468, 0.004814312259812463, 0.004814312259812463, 0.002028026311086767, 0.002028026311086767]	
6.000000	0.488806	0.527726	83.594000	82.390000	56.149535	[0.0036798184542837075, 0.0036798184542837075, 0.013254288790575766, 0.013254288790575766, 0.04855464096468011, 0.04855464096468011, 0.023708905932670513, 0.023708905932670513, 0.04855464096468011, 0.04855464096468011, 0.03063926894658846, 0.03063926894658846, 0.04855464096468011, 0.04855464096468011, 0.030949170275661794, 0.030949170275661794, 0.04855464096468011, 0.04855464096468011, 0.03213928209471651, 0.03213928209471651, 0.04855464096468011, 0.04855464096468011, 0.02778769165695923, 0.02778769165695923, 0.04855464096468011, 0.04855464096468011, 0.02347298431573375, 0.02347298431573375, 0.04855464096468011, 0.04855464096468011, 0.019357672412469593, 0.019357672412469593, 0.04855464096468011, 0.04855464096468011, 0.011981490381949511, 0.011981490381949511, 0.03844091871761741, 0.03844091871761741, 0.010355446089709383, 0.010355446089709383, 0.030077934092075726, 0.030077934092075726, 0.007554433398527536, 0.007554433398527536, 0.022006283087176157, 0.022006283087176157, 0.006178999784538909, 0.006178999784538909, 0.013446952144768357, 0.013446952144768357, 0.00544668691511041, 0.00544668691511041, 0.010437434275513184, 0.010437434275513184, 0.004503117459788371, 0.004503117459788371, 0.007851003315865622, 0.007851003315865622, 0.003685800160517572, 0.003685800160517572, 0.006656809433290725, 0.006656809433290725, 0.003913740801869998, 0.003913740801869998, 0.002125060144917735, 0.002125060144917735]	
7.000000	0.447350	0.541868	84.838000	82.340000	56.438251	[0.0036788428850123944, 0.0036788428850123944, 0.01174277025492711, 0.01174277025492711, 0.04328073475447069, 0.04328073475447069, 0.025224699484300218, 0.025224699484300218, 0.04328073475447069, 0.04328073475447069, 0.03139243246901621, 0.03139243246901621, 0.04328073475447069, 0.04328073475447069, 0.03455939130745546, 0.03455939130745546, 0.04328073475447069, 0.04328073475447069, 0.03676660926872754, 0.03676660926872754, 0.04328073475447069, 0.04328073475447069, 0.03242948376649717, 0.03242948376649717, 0.04328073475447069, 0.04328073475447069, 0.02888202678491845, 0.02888202678491845, 0.04328073475447069, 0.04328073475447069, 0.022946955833672313, 0.022946955833672313, 0.04328073475447069, 0.04328073475447069, 0.01261641392461621, 0.01261641392461621, 0.04045173275958206, 0.04045173275958206, 0.010144383916730795, 0.010144383916730795, 0.03060354413859835, 0.03060354413859835, 0.007519057354647599, 0.007519057354647599, 0.02269778469966167, 0.02269778469966167, 0.006906098414368631, 0.006906098414368631, 0.014423315555187078, 0.014423315555187078, 0.005577591253869025, 0.005577591253869025, 0.011086949581837218, 0.011086949581837218, 0.004688007391036288, 0.004688007391036288, 0.008994630619842906, 0.008994630619842906, 0.004024223749382564, 0.004024223749382564, 0.0075452276952461365, 0.0075452276952461365, 0.004370651090406585, 0.004370651090406585, 0.002578037943277693, 0.002578037943277693]	
8.000000	0.412985	0.528538	86.206000	82.790000	56.209465	[0.0036787944117144234, 0.0036787944117144234, 0.011692463194820287, 0.011692463194820287, 0.03862734132300145, 0.03862734132300145, 0.016757463418201963, 0.016757463418201963, 0.03862734132300145, 0.03862734132300145, 0.02064772113628748, 0.02064772113628748, 0.03862734132300145, 0.03862734132300145, 0.021652143472333192, 0.021652143472333192, 0.03862734132300145, 0.03862734132300145, 0.021702195945538415, 0.021702195945538415, 0.03862734132300145, 0.03862734132300145, 0.017954502081949618, 0.017954502081949618, 0.03862734132300145, 0.03862734132300145, 0.015396384982049278, 0.015396384982049278, 0.03862734132300145, 0.03862734132300145, 0.012265623300816684, 0.012265623300816684, 0.03310128490962543, 0.03310128490962543, 0.007592861216165957, 0.007592861216165957, 0.0185009304263574, 0.0185009304263574, 0.006462644472131044, 0.006462644472131044, 0.014412499564649989, 0.014412499564649989, 0.00464069964753736, 0.00464069964753736, 0.01070736276350385, 0.01070736276350385, 0.003959902862415312, 0.003959902862415312, 0.006982590186379386, 0.006982590186379386, 0.003360775373921562, 0.003360775373921562, 0.0056081454000411046, 0.0056081454000411046, 0.0031141232742272714, 0.0031141232742272714, 0.004693243740453441, 0.004693243740453441, 0.0027213376768898236, 0.0027213376768898236, 0.0038023512565855855, 0.0038023512565855855, 0.0028382446023605228, 0.0028382446023605228, 0.0020909823608801855, 0.0020909823608801855]	
9.000000	0.374400	0.419709	87.372000	86.130000	56.589494	[0.003678823789327686, 0.003678823789327686, 0.010137887498621547, 0.010137887498621547, 0.03452080818837091, 0.03452080818837091, 0.016092307151366256, 0.016092307151366256, 0.03452080818837091, 0.03452080818837091, 0.018279903687957396, 0.018279903687957396, 0.03452080818837091, 0.03452080818837091, 0.018841834018888563, 0.018841834018888563, 0.03452080818837091, 0.03452080818837091, 0.020074104838288438, 0.020074104838288438, 0.03452080818837091, 0.03452080818837091, 0.01703712568508773, 0.01703712568508773, 0.03452080818837091, 0.03452080818837091, 0.01362689847351355, 0.01362689847351355, 0.03452080818837091, 0.03452080818837091, 0.011110433920474606, 0.011110433920474606, 0.03253639773195144, 0.03253639773195144, 0.007231465247518902, 0.007231465247518902, 0.018040004889239288, 0.018040004889239288, 0.006225214755574942, 0.006225214755574942, 0.014157033673907702, 0.014157033673907702, 0.0048662389267896, 0.0048662389267896, 0.010617277672906324, 0.010617277672906324, 0.004405131124391677, 0.004405131124391677, 0.00739006585420561, 0.00739006585420561, 0.003621819329157279, 0.003621819329157279, 0.006068474016976524, 0.006068474016976524, 0.0035585311719707213, 0.0035585311719707213, 0.0052188516580776965, 0.0052188516580776965, 0.0031248778439637247, 0.0031248778439637247, 0.004805367225453226, 0.004805367225453226, 0.003284023431885421, 0.003284023431885421, 0.002449347553956891, 0.002449347553956891]	
