Epoch	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Time	Learning Rate	
0.000000	1.541120	1.324839	42.662000	52.250000	72.793266	[0.005, 0.005, 0.07495082374279607, 0.07495082374279607, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.09317780905479309, 0.09317780905479309, 0.1, 0.1, 0.07182043743663939, 0.07182043743663939, 0.1, 0.1, 0.06084302029262095, 0.06084302029262095, 0.1, 0.1, 0.04443522113820365, 0.04443522113820365, 0.1, 0.1, 0.026817493635412984, 0.026817493635412984, 0.0717378290890468, 0.0717378290890468, 0.0194103377438565, 0.0194103377438565, 0.04232158418725336, 0.04232158418725336, 0.011962694975800752, 0.011962694975800752, 0.02705333929426296, 0.02705333929426296, 0.013169069071483923, 0.013169069071483923, 0.003437548261839758, 0.003437548261839758]	
1.000000	1.048801	1.049460	62.532000	63.790000	64.190160	[0.005, 0.005, 0.047656194813748956, 0.047656194813748956, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.06323651411613446, 0.06323651411613446, 0.1, 0.1, 0.04985160522204708, 0.04985160522204708, 0.1, 0.1, 0.04311395428056191, 0.04311395428056191, 0.1, 0.1, 0.03371603407692091, 0.03371603407692091, 0.08609215594536573, 0.08609215594536573, 0.019929952246791182, 0.019929952246791182, 0.05494998265291516, 0.05494998265291516, 0.01509509008464979, 0.01509509008464979, 0.036414077161322694, 0.036414077161322694, 0.011379411250223846, 0.011379411250223846, 0.025975082733142363, 0.025975082733142363, 0.011573067312527592, 0.011573067312527592, 0.002810734115791882, 0.002810734115791882]	
2.000000	0.837186	0.773127	71.034000	73.590000	64.517153	[0.005, 0.005, 0.043943205806036945, 0.043943205806036945, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.061915310053249024, 0.061915310053249024, 0.1, 0.1, 0.05914536364189747, 0.05914536364189747, 0.1, 0.1, 0.04302853791974059, 0.04302853791974059, 0.1, 0.1, 0.035521173715731956, 0.035521173715731956, 0.085757434039593, 0.085757434039593, 0.02047343224885776, 0.02047343224885776, 0.05709374622522354, 0.05709374622522354, 0.01703175653405018, 0.01703175653405018, 0.0381529441366241, 0.0381529441366241, 0.012426566812012855, 0.012426566812012855, 0.029893292900542975, 0.029893292900542975, 0.01146551047972595, 0.01146551047972595, 0.0037604649624665186, 0.0037604649624665186]	
3.000000	0.727296	0.772583	75.256000	74.470000	64.754046	[0.005, 0.005, 0.0358458223361868, 0.0358458223361868, 0.1, 0.1, 0.0807956700273501, 0.0807956700273501, 0.1, 0.1, 0.08691816813739374, 0.08691816813739374, 0.1, 0.1, 0.09163575789031647, 0.09163575789031647, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0842360902107273, 0.0842360902107273, 0.1, 0.1, 0.07560593164144827, 0.07560593164144827, 0.1, 0.1, 0.06215584938108576, 0.06215584938108576, 0.1, 0.1, 0.03741050527579886, 0.03741050527579886, 0.1, 0.1, 0.03170985327493911, 0.03170985327493911, 0.1, 0.1, 0.023376233255391208, 0.023376233255391208, 0.09184556076310271, 0.09184556076310271, 0.018161802965885574, 0.018161802965885574, 0.05212587455595047, 0.05212587455595047, 0.0106914308005802, 0.0106914308005802, 0.035177163777042546, 0.035177163777042546, 0.010181659651001347, 0.010181659651001347, 0.02288952238680761, 0.02288952238680761, 0.007258455511002938, 0.007258455511002938, 0.018304010672779515, 0.018304010672779515, 0.008862438623423964, 0.008862438623423964, 0.0019748705734032894, 0.0019748705734032894]	
4.000000	0.647724	0.640856	78.184000	78.600000	64.762859	[0.005, 0.005, 0.024691123608848, 0.024691123608848, 0.1, 0.1, 0.06475579783040535, 0.06475579783040535, 0.1, 0.1, 0.07561815685310316, 0.07561815685310316, 0.1, 0.1, 0.07209492122218084, 0.07209492122218084, 0.1, 0.1, 0.0818173404310209, 0.0818173404310209, 0.1, 0.1, 0.06719767167634838, 0.06719767167634838, 0.1, 0.1, 0.05763230605906749, 0.05763230605906749, 0.1, 0.1, 0.045504174269962804, 0.045504174269962804, 0.1, 0.1, 0.025860530965192325, 0.025860530965192325, 0.1, 0.1, 0.024468858936653782, 0.024468858936653782, 0.1, 0.1, 0.019188698423709453, 0.019188698423709453, 0.08760186771628824, 0.08760186771628824, 0.01657432809500297, 0.01657432809500297, 0.04730325549367403, 0.04730325549367403, 0.010020145863153728, 0.010020145863153728, 0.03184557030485193, 0.03184557030485193, 0.009294712187651382, 0.009294712187651382, 0.021742386522298415, 0.021742386522298415, 0.006984863867665079, 0.006984863867665079, 0.01668850471989426, 0.01668850471989426, 0.006831493388956927, 0.006831493388956927, 0.0020031588275539066, 0.0020031588275539066]	
5.000000	0.582528	0.594955	80.572000	80.680000	64.903987	[0.005, 0.005, 0.024828778432743906, 0.024828778432743906, 0.1, 0.1, 0.05134108705876053, 0.05134108705876053, 0.1, 0.1, 0.06350926254086234, 0.06350926254086234, 0.1, 0.1, 0.07217974943613246, 0.07217974943613246, 0.1, 0.1, 0.07688788142933421, 0.07688788142933421, 0.1, 0.1, 0.058018283545643014, 0.058018283545643014, 0.1, 0.1, 0.050050924388916104, 0.050050924388916104, 0.1, 0.1, 0.041155679711585576, 0.041155679711585576, 0.1, 0.1, 0.023015540288317152, 0.023015540288317152, 0.1, 0.1, 0.02128016120820791, 0.02128016120820791, 0.08900598461568836, 0.08900598461568836, 0.016285472927688865, 0.016285472927688865, 0.06506332285631335, 0.06506332285631335, 0.012944995188584002, 0.012944995188584002, 0.0348757350670548, 0.0348757350670548, 0.009838818886445317, 0.009838818886445317, 0.022919180121898895, 0.022919180121898895, 0.0076627137310333465, 0.0076627137310333465, 0.015609307750473327, 0.015609307750473327, 0.004520772541100846, 0.004520772541100846, 0.012697300206666848, 0.012697300206666848, 0.005363611531263741, 0.005363611531263741, 0.001321512500398141, 0.001321512500398141]	
6.000000	0.532540	0.582373	82.232000	80.790000	64.857184	[0.005, 0.005, 0.023617407841354913, 0.023617407841354913, 0.1, 0.1, 0.049355501267002604, 0.049355501267002604, 0.1, 0.1, 0.05974033336536274, 0.05974033336536274, 0.1, 0.1, 0.06143713154228829, 0.06143713154228829, 0.1, 0.1, 0.06194210608530213, 0.06194210608530213, 0.1, 0.1, 0.056622591432761875, 0.056622591432761875, 0.1, 0.1, 0.05087279123781545, 0.05087279123781545, 0.1, 0.1, 0.03800120126697142, 0.03800120126697142, 0.1, 0.1, 0.02437413323294425, 0.02437413323294425, 0.1, 0.1, 0.021556552850901373, 0.021556552850901373, 0.0991647665429983, 0.0991647665429983, 0.015582914098747723, 0.015582914098747723, 0.07045126187577562, 0.07045126187577562, 0.012673636621581384, 0.012673636621581384, 0.03744002304934601, 0.03744002304934601, 0.009030474024067156, 0.009030474024067156, 0.025671425706611597, 0.025671425706611597, 0.008434026363523443, 0.008434026363523443, 0.01762287117810332, 0.01762287117810332, 0.0053634589308837275, 0.0053634589308837275, 0.0145457489645649, 0.0145457489645649, 0.006588504293243451, 0.006588504293243451, 0.0019400644205728602, 0.0019400644205728602]	
7.000000	0.503292	0.568015	83.302000	82.220000	64.994580	[0.005, 0.005, 0.021994028829604117, 0.021994028829604117, 0.1, 0.1, 0.044788737190149884, 0.044788737190149884, 0.1, 0.1, 0.05085615896734375, 0.05085615896734375, 0.1, 0.1, 0.05571358431144189, 0.05571358431144189, 0.1, 0.1, 0.05201540698132898, 0.05201540698132898, 0.1, 0.1, 0.04700231380292652, 0.04700231380292652, 0.1, 0.1, 0.04194356866014938, 0.04194356866014938, 0.1, 0.1, 0.035066683734277806, 0.035066683734277806, 0.1, 0.1, 0.02219272578045136, 0.02219272578045136, 0.1, 0.1, 0.020309343400245063, 0.020309343400245063, 0.08474626130480109, 0.08474626130480109, 0.01389661390625024, 0.01389661390625024, 0.05778313087701752, 0.05778313087701752, 0.010806452865994643, 0.010806452865994643, 0.03139420291141986, 0.03139420291141986, 0.006967808222971078, 0.006967808222971078, 0.02041389810458881, 0.02041389810458881, 0.005907277225515111, 0.005907277225515111, 0.014301720895770548, 0.014301720895770548, 0.004299518102513778, 0.004299518102513778, 0.011189870041021578, 0.011189870041021578, 0.0069271685815854925, 0.0069271685815854925, 0.0013445336070526165, 0.0013445336070526165]	
8.000000	0.463992	0.541744	84.632000	82.310000	64.939934	[0.005, 0.005, 0.021010697772527016, 0.021010697772527016, 0.1, 0.1, 0.03483236122742925, 0.03483236122742925, 0.1, 0.1, 0.044033298118467325, 0.044033298118467325, 0.1, 0.1, 0.04348243936434725, 0.04348243936434725, 0.1, 0.1, 0.04427075727953294, 0.04427075727953294, 0.1, 0.1, 0.037753219667203325, 0.037753219667203325, 0.1, 0.1, 0.0329374454747269, 0.0329374454747269, 0.1, 0.1, 0.026688746864928878, 0.026688746864928878, 0.1, 0.1, 0.018282463542327324, 0.018282463542327324, 0.09342317193787439, 0.09342317193787439, 0.015343422528188704, 0.015343422528188704, 0.07446556990481967, 0.07446556990481967, 0.011664475324673448, 0.011664475324673448, 0.04866195947590558, 0.04866195947590558, 0.008790895127166874, 0.008790895127166874, 0.024782673775122444, 0.024782673775122444, 0.006556540020123282, 0.006556540020123282, 0.01679768522839052, 0.01679768522839052, 0.0054695628013227615, 0.0054695628013227615, 0.011606870558064267, 0.011606870558064267, 0.003791966682533523, 0.003791966682533523, 0.009357469533566866, 0.009357469533566866, 0.004311087243266246, 0.004311087243266246, 0.0009971753334425861, 0.0009971753334425861]	
9.000000	0.435827	0.583028	85.498000	81.230000	65.043862	[0.005, 0.005, 0.01983843183280353, 0.01983843183280353, 0.1, 0.1, 0.03926424296475584, 0.03926424296475584, 0.1, 0.1, 0.04582182555855365, 0.04582182555855365, 0.1, 0.1, 0.04876565827662705, 0.04876565827662705, 0.1, 0.1, 0.049186786522951234, 0.049186786522951234, 0.1, 0.1, 0.04166431711900034, 0.04166431711900034, 0.1, 0.1, 0.03370062976705815, 0.03370062976705815, 0.1, 0.1, 0.02740327393143565, 0.02740327393143565, 0.1, 0.1, 0.017939966856154753, 0.017939966856154753, 0.1, 0.1, 0.0155390427838277, 0.0155390427838277, 0.07608612549116606, 0.07608612549116606, 0.010801148931060196, 0.010801148931060196, 0.04931156175429639, 0.04931156175429639, 0.008725453339049337, 0.008725453339049337, 0.026553129576331262, 0.026553129576331262, 0.006455600779687382, 0.006455600779687382, 0.018718033089620483, 0.018718033089620483, 0.005664524306709218, 0.005664524306709218, 0.01306359544955589, 0.01306359544955589, 0.004275242511121692, 0.004275242511121692, 0.010756301803225026, 0.010756301803225026, 0.004402806291787273, 0.004402806291787273, 0.0012025694611692017, 0.0012025694611692017]	
