Epoch	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Time	Learning Rate	
0.000000	4.102054	3.842586	5.632000	7.700000	68.626902	[0.005, 0.005, 0.03301990802800167, 0.03301990802800167, 0.1, 0.1, 0.08516111249195812, 0.08516111249195812, 0.1, 0.1, 0.09462677371608043, 0.09462677371608043, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.07616356928682283, 0.07616356928682283, 0.1, 0.1, 0.06307508199638931, 0.06307508199638931, 0.1, 0.1, 0.05763951048517718, 0.05763951048517718, 0.1, 0.1, 0.05672869761518176, 0.05672869761518176, 0.08818402383117616, 0.08818402383117616, 0.03559431133656355, 0.03559431133656355, 0.05306725172268498, 0.05306725172268498, 0.022130518810832993, 0.022130518810832993, 0.02982850219649534, 0.02982850219649534, 0.012871877720049834, 0.012871877720049834, 0.019335637342478104, 0.019335637342478104, 0.010091453581868633, 0.010091453581868633, 0.0018264584553101069, 0.0018264584553101069]	
1.000000	3.586119	3.494624	12.176000	14.480000	61.232331	[0.005, 0.005, 0.025949262332421293, 0.025949262332421293, 0.09525, 0.09525, 0.05396156871163636, 0.05396156871163636, 0.09525, 0.09525, 0.06981163019268569, 0.06981163019268569, 0.09525, 0.09525, 0.07494671686292909, 0.07494671686292909, 0.09525, 0.09525, 0.09525, 0.09525, 0.09525, 0.09525, 0.08127850202787432, 0.08127850202787432, 0.09525, 0.09525, 0.07131711264212197, 0.07131711264212197, 0.09525, 0.09525, 0.058877934460228966, 0.058877934460228966, 0.09525, 0.09525, 0.03730686807175948, 0.03730686807175948, 0.08813444308724176, 0.08813444308724176, 0.034431905429924636, 0.034431905429924636, 0.08595007688187863, 0.08595007688187863, 0.029666824118048992, 0.029666824118048992, 0.07508846848308469, 0.07508846848308469, 0.023997251532349998, 0.023997251532349998, 0.038692551783995915, 0.038692551783995915, 0.012498400489578287, 0.012498400489578287, 0.023171447723107197, 0.023171447723107197, 0.010099120442135142, 0.010099120442135142, 0.013326910384210747, 0.013326910384210747, 0.005811478227944519, 0.005811478227944519, 0.0075792155084939816, 0.0075792155084939816, 0.004772412660359883, 0.004772412660359883, 0.0010988525776726454, 0.0010988525776726454]	
2.000000	3.189680	3.095266	18.614000	20.480000	61.473983	[0.005000000000000001, 0.005000000000000001, 0.020464526657659094, 0.020464526657659094, 0.09050000000000001, 0.09050000000000001, 0.03679581101638606, 0.03679581101638606, 0.09050000000000001, 0.09050000000000001, 0.0455356489189899, 0.0455356489189899, 0.09050000000000001, 0.09050000000000001, 0.0507638255049249, 0.0507638255049249, 0.09050000000000001, 0.09050000000000001, 0.06810753957008589, 0.06810753957008589, 0.09050000000000001, 0.09050000000000001, 0.06236074766037528, 0.06236074766037528, 0.09050000000000001, 0.09050000000000001, 0.05693682285730735, 0.05693682285730735, 0.09050000000000001, 0.09050000000000001, 0.04904250634824388, 0.04904250634824388, 0.09050000000000001, 0.09050000000000001, 0.027582418827154908, 0.027582418827154908, 0.07348996747727952, 0.07348996747727952, 0.025090551766702926, 0.025090551766702926, 0.06889329924186122, 0.06889329924186122, 0.020446981283144976, 0.020446981283144976, 0.05546131954222946, 0.05546131954222946, 0.016660168688234944, 0.016660168688234944, 0.02852505286464027, 0.02852505286464027, 0.010511327417825365, 0.010511327417825365, 0.017055954500510947, 0.017055954500510947, 0.008064055523332551, 0.008064055523332551, 0.010097339887047113, 0.010097339887047113, 0.004365707665825824, 0.004365707665825824, 0.006376017379287089, 0.006376017379287089, 0.004170002480050526, 0.004170002480050526, 0.0012542333365666196, 0.0012542333365666196]	
3.000000	2.891407	2.852230	24.646000	25.570000	61.584957	[0.005, 0.005, 0.016350399090088275, 0.016350399090088275, 0.08575, 0.08575, 0.02643806323850948, 0.02643806323850948, 0.08575, 0.08575, 0.03426626423451852, 0.03426626423451852, 0.08575, 0.08575, 0.03709673262983509, 0.03709673262983509, 0.08575, 0.08575, 0.04044462123049449, 0.04044462123049449, 0.08575, 0.08575, 0.03932065793952742, 0.03932065793952742, 0.08575, 0.08575, 0.03763449744288557, 0.03763449744288557, 0.08575, 0.08575, 0.03289462562505487, 0.03289462562505487, 0.08575, 0.08575, 0.017729350716735034, 0.017729350716735034, 0.05033436392901188, 0.05033436392901188, 0.015296096074788016, 0.015296096074788016, 0.045964188036591795, 0.045964188036591795, 0.012867774846722177, 0.012867774846722177, 0.036869085565737154, 0.036869085565737154, 0.01016117384554898, 0.01016117384554898, 0.020375024582886304, 0.020375024582886304, 0.008116739659177348, 0.008116739659177348, 0.013654420734045948, 0.013654420734045948, 0.0069858691211180345, 0.0069858691211180345, 0.009162691947741107, 0.009162691947741107, 0.004388845775275392, 0.004388845775275392, 0.006972006679108376, 0.006972006679108376, 0.004598794748916624, 0.004598794748916624, 0.001384414489158809, 0.001384414489158809]	
4.000000	2.669577	2.629810	29.136000	30.030000	61.771762	[0.005, 0.005, 0.013316852273133707, 0.013316852273133707, 0.08100000000000002, 0.08100000000000002, 0.02201975489179324, 0.02201975489179324, 0.08100000000000002, 0.08100000000000002, 0.02660578494315648, 0.02660578494315648, 0.08100000000000002, 0.08100000000000002, 0.029359479947098005, 0.029359479947098005, 0.08100000000000002, 0.08100000000000002, 0.03513723615493665, 0.03513723615493665, 0.08100000000000002, 0.08100000000000002, 0.03460813116712424, 0.03460813116712424, 0.08100000000000002, 0.08100000000000002, 0.027769947913851758, 0.027769947913851758, 0.08100000000000002, 0.08100000000000002, 0.02358739273359726, 0.02358739273359726, 0.06842748280291196, 0.06842748280291196, 0.01365662369890941, 0.01365662369890941, 0.036933415778508304, 0.036933415778508304, 0.01090114888909758, 0.01090114888909758, 0.033003992434339983, 0.033003992434339983, 0.010549780080306766, 0.010549780080306766, 0.0267159998450162, 0.0267159998450162, 0.00800808464365358, 0.00800808464365358, 0.015010036231793998, 0.015010036231793998, 0.006004923159776282, 0.006004923159776282, 0.010394115050819382, 0.010394115050819382, 0.005738891709016389, 0.005738891709016389, 0.007185322984714183, 0.007185322984714183, 0.004250432920903567, 0.004250432920903567, 0.005983563992306752, 0.005983563992306752, 0.004169112461169869, 0.004169112461169869, 0.0015289275341379303, 0.0015289275341379303]	
5.000000	2.477337	2.462506	33.202000	33.850000	62.011743	[0.005, 0.005, 0.015530473958293711, 0.015530473958293711, 0.07625000000000001, 0.07625000000000001, 0.023530592658346648, 0.023530592658346648, 0.07625000000000001, 0.07625000000000001, 0.02596089509052589, 0.02596089509052589, 0.07625000000000001, 0.07625000000000001, 0.03052935817118064, 0.03052935817118064, 0.07625000000000001, 0.07625000000000001, 0.036538433646486526, 0.036538433646486526, 0.07625000000000001, 0.07625000000000001, 0.035303757972634534, 0.035303757972634534, 0.07625000000000001, 0.07625000000000001, 0.0314797118554825, 0.0314797118554825, 0.07625000000000001, 0.07625000000000001, 0.025014111516883895, 0.025014111516883895, 0.06928566226433153, 0.06928566226433153, 0.015091523581915763, 0.015091523581915763, 0.03638097375915689, 0.03638097375915689, 0.01175316428404077, 0.01175316428404077, 0.031877271885330655, 0.031877271885330655, 0.010145886350234406, 0.010145886350234406, 0.026175439689992825, 0.026175439689992825, 0.009146636550609044, 0.009146636550609044, 0.015307645869847121, 0.015307645869847121, 0.006311456995972913, 0.006311456995972913, 0.010717364227376902, 0.010717364227376902, 0.005208081765018636, 0.005208081765018636, 0.007325347596550169, 0.007325347596550169, 0.0038001359474268154, 0.0038001359474268154, 0.0058368435716139415, 0.0058368435716139415, 0.0044517228467832355, 0.0044517228467832355, 0.0017666649998914587, 0.0017666649998914587]	
6.000000	2.320973	2.334643	36.786000	36.520000	62.079951	[0.004999999999999999, 0.004999999999999999, 0.011962322216367735, 0.011962322216367735, 0.0715, 0.0715, 0.016835665910946394, 0.016835665910946394, 0.0715, 0.0715, 0.0203403435938833, 0.0203403435938833, 0.0715, 0.0715, 0.02077998339350768, 0.02077998339350768, 0.0715, 0.0715, 0.021965721980317234, 0.021965721980317234, 0.0715, 0.0715, 0.021601024765256258, 0.021601024765256258, 0.0715, 0.0715, 0.019093280731392923, 0.019093280731392923, 0.0715, 0.0715, 0.016215561149523827, 0.016215561149523827, 0.04488498721367498, 0.04488498721367498, 0.009746722136170909, 0.009746722136170909, 0.023705113346707045, 0.023705113346707045, 0.007887721468985691, 0.007887721468985691, 0.020406116643509286, 0.020406116643509286, 0.006640179130005253, 0.006640179130005253, 0.016482740021001745, 0.016482740021001745, 0.0056891249129948, 0.0056891249129948, 0.009923704230409839, 0.009923704230409839, 0.004260414562861458, 0.004260414562861458, 0.0074462885359268885, 0.0074462885359268885, 0.0040602405370389755, 0.0040602405370389755, 0.00542930479213025, 0.00542930479213025, 0.002912045525850131, 0.002912045525850131, 0.004580999022511003, 0.004580999022511003, 0.0035825533665023545, 0.0035825533665023545, 0.0018589799566066229, 0.0018589799566066229]	
7.000000	2.188328	2.248212	39.868000	38.570000	62.263174	[0.005, 0.005, 0.010364202217999855, 0.010364202217999855, 0.06675, 0.06675, 0.01662812939265238, 0.01662812939265238, 0.06675, 0.06675, 0.018026310104426985, 0.018026310104426985, 0.06675, 0.06675, 0.019401934517954418, 0.019401934517954418, 0.06675, 0.06675, 0.02007227678423356, 0.02007227678423356, 0.06675, 0.06675, 0.01827844546287522, 0.01827844546287522, 0.06675, 0.06675, 0.01690025782606063, 0.01690025782606063, 0.06675, 0.06675, 0.014327128745997453, 0.014327128745997453, 0.0375218968976971, 0.0375218968976971, 0.008830968479656406, 0.008830968479656406, 0.020028855492334782, 0.020028855492334782, 0.007229952702221344, 0.007229952702221344, 0.017439977594310166, 0.017439977594310166, 0.006381940359102906, 0.006381940359102906, 0.014411177666373641, 0.014411177666373641, 0.005653400167130242, 0.005653400167130242, 0.009279521697828716, 0.009279521697828716, 0.004570352089272598, 0.004570352089272598, 0.0073188484545688316, 0.0073188484545688316, 0.004303476750517125, 0.004303476750517125, 0.005627028189657385, 0.005627028189657385, 0.0037379549267224617, 0.0037379549267224617, 0.004793405889240416, 0.004793405889240416, 0.003673691272404035, 0.003673691272404035, 0.002156693196722449, 0.002156693196722449]	
8.000000	2.067062	2.213819	42.702000	40.240000	62.356968	[0.005, 0.005, 0.009898275127564934, 0.009898275127564934, 0.062, 0.062, 0.01377100906787478, 0.01377100906787478, 0.062, 0.062, 0.017861255555009913, 0.017861255555009913, 0.062, 0.062, 0.01964871675805134, 0.01964871675805134, 0.062, 0.062, 0.02043602038476945, 0.02043602038476945, 0.062, 0.062, 0.017570492067821887, 0.017570492067821887, 0.062, 0.062, 0.015226147880349828, 0.015226147880349828, 0.062, 0.062, 0.01167364329195408, 0.01167364329195408, 0.03230954919850252, 0.03230954919850252, 0.007717252430129692, 0.007717252430129692, 0.017145092812849615, 0.017145092812849615, 0.006290069570308003, 0.006290069570308003, 0.01512465444303438, 0.01512465444303438, 0.0060029033816329, 0.0060029033816329, 0.012914174996691515, 0.012914174996691515, 0.005745061218234326, 0.005745061218234326, 0.00854539859337435, 0.00854539859337435, 0.00438138356612598, 0.00438138356612598, 0.006629741141266741, 0.006629741141266741, 0.003959315016368002, 0.003959315016368002, 0.005055622326605247, 0.005055622326605247, 0.0032999890187727825, 0.0032999890187727825, 0.004077504848532532, 0.004077504848532532, 0.003753931262726502, 0.003753931262726502, 0.002379843638581724, 0.002379843638581724]	
9.000000	1.964602	2.145937	45.274000	42.070000	62.480749	[0.005000000000000001, 0.005000000000000001, 0.009240155620412553, 0.009240155620412553, 0.05725000000000001, 0.05725000000000001, 0.012111744484280974, 0.012111744484280974, 0.05725000000000001, 0.05725000000000001, 0.01422504424776352, 0.01422504424776352, 0.05725000000000001, 0.05725000000000001, 0.014659701964426116, 0.014659701964426116, 0.05725000000000001, 0.05725000000000001, 0.01527198616448458, 0.01527198616448458, 0.05725000000000001, 0.05725000000000001, 0.01429188808778702, 0.01429188808778702, 0.05725000000000001, 0.05725000000000001, 0.012441998042279216, 0.012441998042279216, 0.054365137662276616, 0.054365137662276616, 0.010276516241283173, 0.010276516241283173, 0.02709841805846766, 0.02709841805846766, 0.006825035287695922, 0.006825035287695922, 0.014628645555570025, 0.014628645555570025, 0.005569643044735338, 0.005569643044735338, 0.012481264857768183, 0.012481264857768183, 0.005060817669686723, 0.005060817669686723, 0.010607299177867626, 0.010607299177867626, 0.004772216743746562, 0.004772216743746562, 0.0073788714371319074, 0.0073788714371319074, 0.003946827669846218, 0.003946827669846218, 0.006038379189146237, 0.006038379189146237, 0.0038292483920743334, 0.0038292483920743334, 0.004899173050557816, 0.004899173050557816, 0.003422714109771894, 0.003422714109771894, 0.004350742722688742, 0.004350742722688742, 0.0035607384450852247, 0.0035607384450852247, 0.002542938547672998, 0.002542938547672998]	
